company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
Explain Learning,2022-01-01,https://explainlearning.com,"Rio Rancho, New Mexico, United States","Education, Software","E-Learning, Education",1956049.0,"Explain Learning: The Best Way to Study for High School Study Group and College Study Group Studying can be a daunting task, especially when you're juggling school, work, and other commitments. But it doesn't have to be. With Explain Learning, you can get the help you need to succeed in your studies. Explain Learning is an online educational software that provides students with a variety of tools to help them learn more effectively. With Explain Learning, you can: - Create school study groups with other students - Get help from expert tutors - Access a library of educational resources - Track your progress and stay motivated Explain Learning is the perfect solution for students who want to get the most out of their studies. Whether you're a high school student or a college student, Explain Learning can help you succeed.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,2,2022,71000,False,False
Be Strong Therapy Services,2019-01-01,https://www.bestrongtherapy.com,"Tallahassee, Florida, United States",Health Care,"Health Care, Rehabilitation, Therapeutics",2568050.0,"Be Strong Therapy Services is a healthcare provider that specializes in cancer and lymphatic rehabilitation. The company offers a range of services including physical therapy, occupational therapy, pre-hab, cancer recovery, breast cancer rehab, and lymphedema therapy. They also provide massage therapy to help with pain and restrictions after cancer treatment. The team at Be Strong Therapy Services is passionate about providing comprehensive cancer care by treating the whole person, not just the cancer diagnosis.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,83384,False,False
GeoJet,2020-06-01,http://geojet.io/,"Wilmington, Delaware, United States","Advertising, Information Technology, Sales and Marketing","Advertising, Information Technology, Lead Generation, Marketing",559532.0,GeoJet offers businesses effective tools to engage more customers & beat competitors: - Presence management - Local SEO - Reviews managements - Analytics & insights - Local ads campaigns,11-50,2.0,Seed,2020-12-31,0.0,Pre-Seed,0.0,2.0,11-50,Private,,,,,,2,3,2020,40038,False,False
New Debt Exchange,2019-09-01,https://newdebtexchange.com,"New York, New York, United States","Financial Services, Information Technology, Other","B2B, Financial Services, FinTech, Information Technology",129978.0,,1-10,1.0,Seed,2022-05-17,1000000.0,Seed,1000000.0,1.0,1-10,Private,,,,,,0,4,2019,16501,False,False
SoBooster,2020-01-01,https://sobooster.com,"Eaton Rapids, Michigan, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Information Technology",927126.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,50539,False,False
Aknew Approach,2021-01-01,https://aknewapproach.org,"Houston, Texas, United States","Community and Lifestyle, Health Care, Other, Social Impact","Assisted Living, Communities, Non Profit",1344526.0,,11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,3,2021,59365,False,False
SpotSense,2019-01-01,https://www.spotsense.io,"Scottsdale, Arizona, United States","Apps, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Software","Geospatial, Location Based Services, Mobile, Mobile Apps, PaaS, Software",446776.0,"At SpotSense, our mission is to bring harmony between Humans, Technology, and the World around us. It is our belief that the best technology serves us at the right place and the right time. By providing easy to use and accurate location-based services for mobile applications through our API and SDK, we are empowering both mobile developers and brick and mortar establishments to create unique experiences for their end users in real-world places.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2019,35857,False,False
Sterling Management Company,2019-01-01,https://sterlingpropertymgt.com,"Scottsdale, Arizona, United States","Real Estate, Sales and Marketing","Marketing, Property Management, Real Estate, Residential",1513402.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,62396,False,False
fraXtion,2020-01-01,https://fraxtionsmb.com/,"Cincinnati, Ohio, United States","Education, Professional Services","Consulting, Corporate Training",2572108.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,83308,False,False
"Nexus 33 Group, LLC",2019-04-19,https://www.nexussoftwaresystems.com,"Orlando, Florida, United States",Software,Software,676207.0,Compliance Management System designed for DOT regulated organizations,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2019,43775,False,False
Prestige Distribution Systems,2019-01-01,http://www.adsbypds.com/,"North Hollywood, California, United States","Advertising, Sales and Marketing",Advertising,3216880.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,90719,False,False
Seger Tax & Accounting,2019-01-01,https://www.segertax.com/,"Rockford, Michigan, United States","Financial Services, Professional Services","Accounting, Consulting, Financial Services",3192853.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,90863,False,False
Fast Pace Medical Staffing,2020-01-01,http://www.fastpacemedicalstaffing.com,"Brookfield, Wisconsin, United States","Administrative Services, Health Care, Professional Services","Employment, Health Care, Medical, Staffing Agency",2296736.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,78281,False,False
PolicyPartner,2021-01-01,https://policypartnerdc.com,"Washington, District of Columbia, United States","Data and Analytics, Design, Financial Services, Other","Financial Services, Market Research, Professional Services",2197692.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,74884,False,False
Envive Healthcare,2021-01-01,https://envivehealthcare.com/,"Indianapolis, Indiana, United States",Health Care,"Elder Care, Health Care, Nursing and Residential Care",330049.0,,501-1000,0.0,,,0.0,,0.0,,501-1000,Private,,,,,,6,3,2021,30426,False,False
360 Ranker,2022-05-01,https://www.360ranker.com,"Bethesda, Maryland, United States","Internet Services, Sales and Marketing, Software","Marketing, SEO, Software",1225533.0,White-label SEO ranking report tools for marketing agencies. Check the position of any website on Google and Google Mobile based on the relevant keywords. Get the keyword position and ranking movements for your client’s website. Create impressive SEO keyword ranking reports with 360 Ranker!,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,1,2022,57114,False,False
Drinkfly,2022-08-01,http://drinkfly.com,"San Diego, California, United States","Administrative Services, Food and Beverage, Internet Services","Delivery, Online Portals, Wine And Spirits",919373.0,"Drinkfly offers alcohol and wine, delivered to their door. For inquiries, telephone and contact numbers are used.",1-10,0.0,M&A,,0.0,,0.0,3.0,1-10,Private,,,,,,5,1,2022,50351,False,False
Transporterr,2019-04-15,https://transporterr.com,"Washington, District of Columbia, United States",Transportation,Transportation,2926759.0,The Revolution in Business & Family Travel. A Safe - Class Passenger Experience with Members-Only Subscription Service. A Washington DC based Luxury Transportation Company offering On-Demand & Pre-Scheduled Rides.  Company-owned  fleet of new Cadillac SUV's & Sedans. W-2 fully vetted and trained employees.,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2019,88676,False,False
Virtue Recovery Center Killeen Texas,2021-01-01,https://www.virtuerecoverycenter.com/killeen-texas-treatment-center/,"Astoria, Oregon, United States",Health Care,"Health Care, Rehabilitation",2563783.0,"At Virtue Recovery Center Killeen Texas, each patient is assigned a world-class, highly trained multidisciplinary care team. Our inpatient programs employ on-site medical doctors, nurses, psychiatrists, psychologists, counselors and therapists, addiction professionals, behavioral health techs and case managers who work together intimately to continually assess and adjust each patient’s custom-tailored treatment plan. Your personal care providers coordinate care for the best treatment outcomes in all cases. Furthermore, patients are encouraged to consult with our spiritual staff, nutritionists and wellness counselors. all of our staff members are fully licensed in the disciplines in which they practice. Address - 5200 S W S Young Dr, Killeen TX 76542 Business Hours - Mon - Sun 24 Hours",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,81846,False,False
Inflection Brands,2019-01-01,https://inflectionbrands.com,"Austin, Texas, United States","Commerce and Shopping, Financial Services, Internet Services, Lending and Investments","E-Commerce Platforms, Financial Services, Venture Capital",280839.0,,11-50,0.0,M&A,,0.0,,0.0,,11-50,Private,,,,,,5,5,2019,27623,False,False
FISK: Mobile Tipping,2019-05-05,https://www.fiskmobile.tech,"Orlando, Florida, United States","Financial Services, Payments, Software","Payments, Virtual Currency",86165.0,"FISK: Mobile Tipping is a p2p app that resembles other p2p apps on the market with some features that set it apart. Our unique feature automatically puts a portion of the tip into an investment account. We are the only tipping application with this feature (Patent Pending). There is also an anonymous gateway that allows tips from a credit card, and of course they can get their paychecks directly deposited into their account.  FISK: Mobile Tipping is designed to assist anyone in the service industry. The app helps them learn finance, all while they invest in their future. Users are building their future one tip at a time. With an adjustable split, putting money away for the future has never been so easy. Users can attach a preexisting account or use one of our partnering firms.  The younger generations will have problems if they rely only on Social Security for retirement. Understanding good financial habits is crucial in today's society. When users start, they see the power of compounding interest in small increments.   We all know the number one investment that they make is in themselves. Learning how to make good decisions with their money affects their future.  When FISK: Mobile Tipping is that it is set up correctly with a long-term investment account, and no matter what the split is, the tipper is altering the tippee's future. Yes, we just said that a mobile app alters the future of the user.",1-10,2.0,Seed,2023-07-01,100000.0,Pre-Seed,415000.0,1.0,1-10,Private,,,,,,0,4,2019,11588,False,False
KDex Global,2020-01-01,https://www.kdexglobal.com,"Charlotte, North Carolina, United States","Information Technology, Internet Services, Professional Services, Software","Cloud Computing, Consulting, Information Technology",348448.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2020,31405,False,False
Marfa Invitational,2019-01-01,https://www.marfainvitational.com,"Marfa, Texas, United States","Community and Lifestyle, Other, Social Impact, Travel and Tourism","Museums and Historical Sites, Non Profit, Social",1682031.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2019,66872,False,False
Dynamic Health Carolinas,2021-01-01,https://dynamichealthcarolinas.com,"Charlotte, North Carolina, United States",Health Care,"Health Care, Medical, Rehabilitation",1736295.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,67350,False,False
Verus Advisory,2021-01-01,https://www.verusedge.com,"Montclair, New Jersey, United States","Data and Analytics, Information Technology, Media and Entertainment, Privacy and Security, Professional Services","Advice, Big Data, Consulting, Cyber Security",1437417.0,"Verus Advisory provides cost structure transformation, artificial intelligence, big data, IT factory, next-gen tech, product development, product design, social impact, innovation improvement, cultural malleability, and change management superiority services.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,60699,False,False
ProThird,2020-01-01,https://prothird.com,"Houston, Texas, United States","Advertising, Internet Services, Sales and Marketing","Advertising, Digital Marketing, Marketing, SEM",973751.0,"ProThird provides customer acquisition, social marketing, sponsored material, customer acquisition, search engine optimization, SEM, online marketing, and corporate advertising marketing. They offer data such as engagements, views, and sales while managing to connect their marketing plans to commercial processes for direction.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,51701,False,False
Liquid Lending,2019-01-01,https://liquid-lending.com,"Coral Springs, Florida, United States",Financial Services,"Finance, Financial Services, Lending",2115943.0,"Liquid Lending is providing a unique solution in the marketplace. It empowers healthcare providers to offer an alternative payment solution at the point of care. They offer next-day payments to providers and reasonable, easy-to-understand loan terms, so patients are satisfied and comfortable with their payments. They understand both provider and patient perspectives and they used that insight to develop their next-generation financial technology. It is the patient financing space, providing innovative solutions to the market.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,74604,False,False
Propfire,2019-03-03,https://www.propfire.com,"Hackensack, New Jersey, United States",Software,"Productivity Tools, SaaS, Software",1256344.0,"Propfire is online software that helps consultants, freelancers and agencies create proposals faster -- even at a client meeting.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,57950,False,False
Telvero,2019-01-01,https://www.telvero.com/,"Vero Beach, Florida, United States","Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Messaging, Telecommunications",2092446.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,73424,False,False
Define3 Consulting,2022-01-01,https://define3.io,"New York, New York, United States","Administrative Services, Blockchain and Cryptocurrency, Internet Services, Other, Professional Services, Sales and Marketing","B2B, Consulting, Marketing, Project Management, Web3",1656034.0,"Define3 Consulting specializes in brand marketing, blockchain consulting, B2C & B2B partnerships and marketing communications. They offer fractional CMO and CFO consulting services. The company's contact modes are by mail, phone, and physical address.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,2,2022,65827,False,False
Axcel Beck Consulting,2021-01-01,https://www.axcelbeck.com,"Rochester Hills, Michigan, United States","Financial Services, Information Technology, Professional Services","Consulting, Information Technology, Insurance",2082283.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,73580,False,False
Solved By Tanna,2021-01-01,https://www.solvedbytanna.com,"Tampa, Florida, United States","Financial Services, Professional Services, Software","Accounting, Enterprise Resource Planning (ERP), Financial Services",2330920.0,,11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,79315,False,False
American Wall Print,2021-01-01,https://www.americanwallprint.com,"Princeton, Texas, United States","Hardware, Other, Real Estate, Science and Engineering, Software","Commercial, Home Decor, Home Services, Residential, Robotics",2869878.0,"American Wall Print provides business applications, office walls, branding, residential, and commercial services. They provide design services for playgrounds, schools, car washes, daycares, resorts, and sports centers. They also provide design, installation, and post installation services.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,86591,False,False
Intelus Agency,2018-06-15,https://www.intelusagency.com/linkedin-lead-generation,"Athens, Alabama, United States","Advertising, Other, Sales and Marketing","Advertising, B2B, Brand Marketing, Content Marketing, Digital Marketing, Social Media Marketing",747844.0,Intelus Agency is an award-winning manual LinkedIn lead generation agency. Our clients average 6-10+ qualified leads per month without spamming inboxes.,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2018,45830,False,False
HOSTMAN,2019-01-01,https://hostman.com/,"Menlo Park, California, United States","Apps, Information Technology, Internet Services, Professional Services, Software","Consulting, IT Infrastructure, Web Apps, Web Hosting",871093.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,0.0,1.0,,6,5,2019,49150,False,False
FinHealthCheck,2020-02-01,http://www.finhealthcheck.com,"Chicago, Illinois, United States","Administrative Services, Data and Analytics, Financial Services, Health Care, Professional Services, Software","Analytics, Business Intelligence, Employee Benefits, Employment, Financial Services, Health Care, Software, Wellness",1097601.0,"We describe FinHealthCheck as 'an insights platform that enables organizations to optimize for financial health'.  It is the culmination of years of research and in-market implementation in measuring and improving financial health outcomes, especially for low- to moderate-income families and people of color who are disproportionately financially challenged. Financial services companies, health care firms and employers across sectors can use FinHealthCheck to quickly understand the financial health needs of their customers and employees, learn what actions to take and track their impact over time.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,4,2020,54348,False,False
Apogee Process Improvement,2020-01-01,https://apogeepi.com,"Columbus, Ohio, United States","Financial Services, Media and Entertainment, Professional Services","Advice, Consulting, Financial Services",1653347.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,65877,False,False
BAJA FORGED,2020-01-01,https://www.bajaforged.com,"San Dimas, California, United States","Manufacturing, Other, Transportation","Automotive, Manufacturing, Small and Medium Businesses",2399866.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,79745,False,False
Got it Life,2020-04-04,http://gotit.life,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Education, Health Care, Science and Engineering, Software, Sports","Artificial Intelligence (AI), EdTech, Health Care, SaaS, Sports",323309.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2020,30044,False,False
Schoolyard Inc.,2019-02-28,https://schoolyardmedia.com,"Los Angeles, California, United States",Media and Entertainment,"Digital Entertainment, Digital Media, Media and Entertainment",532879.0,"SHORT EPISODES WITHOUT SUBSCRIPTIONS, DOWNLOADS, OR AD BREAKS. Schoolyard Media is an Entertainment and Media network disrupting the way digital media is being produced, monetized and distributed. Through innovative methods, we will significantly reduce traditional production costs while generating revenue without ad-breaks, subscriptions, or app downloads.  The series will be distributed through all social platforms with a focus on accessibility.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,5,2019,39126,False,False
PlanSplit,2021-04-13,https://plansplit.com/,"Ormond Beach, Florida, United States","Health Care, Other, Software","Dental, Health Care, Medical, SaaS, Software, Subscription Service, Veterinary, Wellness",408466.0,"PlanSplit is a virtual company specializing in subscription management SaaS. Our aim is to help small businesses grow their revenues. Our current focus is on healthcare, and we help practices thrive by providing an Inexpensive, Easy-To-Implement, Easy-To-Scale solution.",1-10,1.0,Seed,2023-01-19,0.0,Seed,0.0,1.0,1-10,Private,,,0.0,1.0,,2,2,2021,34224,False,False
FutureSolve,2020-01-01,https://www.futuresolve.com,"Richardson, Texas, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Business Development, Human Resources",359580.0,"FutureSolve supports SMBS via five main branches of service:  HR Marketplace Helping clients find HR technologies via the HR Marketplace, a one-stop shop of vetted software and tech solutions. Offering free, personalized guidance across all marketplace vendors.  Advisory Services Access to professional and executive Advisors to help Midcap and Private Equity companies with the hard calls. Optimizing organizational performance, productivity and revenue gains.  Performance Index using A.I Utilizing AI to assess 12 unique business areas related to productivity and talent. Upon completion of the assessment, results are benchmarked against industry data to determine the health of each area. Most notable feature is the A.I-powered Analytics Dashboard, with actions that directly improve revenue impact.  Leadership Agility Providing advisory services designed to support future workforce strategies, including C-Suite Leadership Support, Executive Team Alignment & Accountability, Organizational Design Effectiveness, and Succession Planning and Talent Management.  Digital Associate Experience Deliver consumer grade experiences in the office and at home for associates. Provides a simplified and integrated digital portal for associates as well as a manager toolkit, with real-time information on the company. A full suite of software created by best of breed vendors, vetted by our team and unified through our integrated digital portal.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,4,2020,31953,False,False
BPC,2021-01-01,https://www.blockchain-power.com,"Palm Beach Gardens, Florida, United States","Blockchain and Cryptocurrency, Hardware, Information Technology, Other, Software","Blockchain, Data Center, Information Technology, Software",2003417.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,71787,False,False
Munchron,2018-08-16,https://munchron.com,"Las Vegas, Nevada, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Home Health Care, Machine Learning, Medical, SaaS",1913604.0,"Munchron is an early stage startup creating the worlds first public accessible disease and illness detection scanner as a service (SaaS). Beyond publically known as an end-user tool, services for doctors offices (Dermatology), operating rooms/surgery centers, and laboratories have been rendered to enhance future healthcare detection and diagnosis.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,5,2018,70095,False,False
Corp Capital,2021-01-01,https://www.corpcapital.vc,"San Francisco, California, United States","Advertising, Financial Services, Lending and Investments, Sales and Marketing","Advertising, Venture Capital",1427414.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,60904,False,False
STORYD,2022-03-01,https://www.storyd.ai,"Seattle, Washington, United States",Software,Software,291936.0,,1-10,1.0,Seed,2022-06-01,0.0,Pre-Seed,0.0,2.0,1-10,Private,,,,,,2,2,2022,28293,False,False
NimaN,2019-01-01,https://ni-man.com/,"San Diego, California, United States",Manufacturing,Manufacturing,1847820.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,5,2019,69778,False,False
Prosperity Growth Strategies,2021-01-01,https://prosperitygrowthstrategies.com,"Richmond, Virginia, United States","Community and Lifestyle, Financial Services, Other","Financial Services, Life Insurance, Retirement",2893113.0,"Prosperity Financial is a company that offers financial management services. Their main focus is on securing the retirement future of their clients. They provide innovative solutions in areas such as 401(k) Plans, Retirement Plans, Creative Investments, and Tax Reductions. The company also has a team of financial planning advisors who work closely with clients to understand their financial goals and provide tailored advice. They are known for their commitment to protection and simplicity, ensuring that their clients' financial futures are secure.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,87752,False,False
The Art of Carving Ice,2020-01-01,https://theartofcarvingice.com,"Placentia, California, United States","Media and Entertainment, Natural Resources","Art, Water",2676288.0,"The Art of Carving Ice provides ice bars and luges. They offer services that include liquor and cuisine displays, decorative and fine art, a freezing moments catalog, and beyond ice. An online inquiry form is available on the company's website.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,84788,False,False
EdMotion,2021-11-01,https://edmotionlearning.com,"Cary, North Carolina, United States","Education, Software",EdTech,672912.0,"EdMotion's SMALLab is a one-of-a-kind, 3D interactive classroom experience in which students participate and collaborate with classmates in standards-based embodied learning activities. Initially funded by the National Science Foundation, the Bill and Melinda Gates Foundation, the MacArthur Foundation, and Intel Research, SMALLab produced an 86% increase in student understanding, a 6.7X increase in student to student collaboration, and a 33% increase in teacher performance.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2021,43674,False,False
Arkona,2019-01-01,https://arkona.io/,"Stillwater, Minnesota, United States","Education, Financial Services, Professional Services","Financial Services, Management Consulting, Training",839766.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,48319,False,False
AloPay,2021-01-01,https://alopay.club,"New York, New York, United States",Financial Services,"Finance, Financial Services, Lending",468183.0,,1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,36705,False,False
Mytho,2021-01-01,https://mytho.app,"Chicago, Illinois, United States","Apps, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Mobile, Platforms, Science and Engineering, Software","Artificial Intelligence (AI), Communities, iOS, Mobile Apps",1258106.0,Mytho is an iOS app that creates unique stories using generative artificial intelligence.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,57911,False,False
Marketers Company,2019-01-01,https://www.marketerscompany.com,"Lansdale, Pennsylvania, United States","Financial Services, Media and Entertainment, Other, Sales and Marketing","Content Creators, Content Marketing, Financial Services, Professional Services",1558688.0,"Marketers Company operates as a content creation and distribution entity, primarily catering to boutique investment managers and financial advisors. The company acts as an in-house marketing content team for its clients, helping to generate meaningful conversations through their content marketing strategies. They are known for implementing and identifying best marketing practices. Additionally, Marketers Company has a product named Marketers PRO, aimed at fostering the future class of digital entrepreneurs.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,63047,False,False
Bake Eat Love,2019-01-01,https://bakeeatlovebox.com,"Raleigh, North Carolina, United States","Commerce and Shopping, Food and Beverage","E-Commerce, Food and Beverage, Snack Food",1752823.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,67009,False,False
WiteSand,2019-01-01,https://www.witesand.io/,"San Jose, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, SaaS, Software",308499.0,"WiteSand is the agent of change, industry disruptor, bringing zenlike simplification to enterprise networking. WiteSand enterprise network managers gain an integrated portal in the cloud leveraging the latest advances in AI/ML to provision, monitor, analyze, and secure access to their global networks.",11-50,0.0,M&A,,0.0,,0.0,1.0,11-50,Private,,,0.0,1.0,,5,5,2019,29230,False,False
Teal Omics,2022-01-01,https://tealomics.com,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering","Biopharma, Biotechnology, Life Science, Therapeutics",261769.0,"Teal's mission is to transform healthcare by developing new ways of measuring, monitoring, and treating diseases of aging. Teal is building a platform leveraging proteomics, human genetics, and proprietary AI to accelerate the discovery of novel targets of aging and age-related disease.",1-10,0.0,,,0.0,,0.0,5.0,1-10,Private,,,,,,6,2,2022,26505,False,False
Kadima Communications,2020-01-01,https://kadimacom.com,"Gainesville, Georgia, United States","Hardware, Information Technology, Internet Services","Information Technology, Internet, Telecommunications",2410671.0,"Kadima provides construction projects,  technological site acquisition before construction, maintenance of development, and ambulance inspections. They provide construction preparation site assessments and raw land site surveys for new building construction. They offer building maintenance and repairs.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,4,2020,79602,False,False
Serenity Wealth Management,2021-01-01,https://serenitywealthmgmt.com ,"St. Charles, Missouri, United States","Community and Lifestyle, Financial Services, Other","Financial Services, Retirement, Wealth Management",2715842.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,3,2021,84200,False,False
Curio,2022-01-01,https://www.becurio.co,"New York, New York, United States","Artificial Intelligence (AI), Community and Lifestyle, Content and Publishing, Data and Analytics, Education, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Children, Education, Language Learning, Publishing",600322.0,"Did you know that one-third of children in the US are currently growing up bilingual, and this number is constantly increasing?  At Curio, we have a straightforward mission: to promote bilingual education, facilitate meaningful conversations, and foster self-discovery. By partnering with international publishers, we curate a collection of captivating books in Spanish, Traditional and Simplified Chinese, and French. Introducing Curio Book Box, the first ever curated book subscription service exclusively for bilingual children aged 0-10 in the United States.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,41441,False,False
Fli Charge,2019-01-01,https://www.flicharge.com/,"Lake Forest, Illinois, United States","Consumer Electronics, Hardware","Consumer Electronics, Electronics",992456.0,"Fli Charge is conductive charging that allows anyone to live life at 100%. The company's mission is to create a more intuitive, cost effective and safe power delivery standard that enables people to focus on the tasks at hand, instead of the strain of powering and charging the devices used to complete them. Fli Charge's proprietary technology brings power closer by transforming surfaces into dynamic power delivery solutions at both a consumer and infrastructure level. ",11-50,0.0,M&A,,0.0,,0.0,,11-50,Private,,,5.0,15.0,Generation; Conversion Or Distribution Of Electric Power,5,5,2019,52183,False,False
SimpliCourt,2022-12-12,https://simplicourt.com,"Salt Lake City, Utah, United States","Professional Services, Software","Legal Tech, Software",1808967.0,"We provide Pro Se litigants with tools, resources and general guidance to properly navigate our overcomplicated court system. We also help lawyers find Pro Se litigants who are ready to transition to full representation. We strongly believe that helping people through the lens of mental health & fitness is the key to sustaining those who are underprivileged and have to represent themselves in court.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,1,2022,68992,False,False
OpenVia,2020-01-01,https://www.openvia.co/,"Birmingham, Alabama, United States","Administrative Services, Other, Privacy and Security, Real Estate, Transportation, Travel and Tourism","B2B, Delivery, Home Services, Logistics, Rental Property, Same Day Delivery, Security, Vacation Rental",242921.0,"OpenVia gives properties the modern, mobile access features residents expect without replacing expensive gate or access control systems.",1-10,3.0,Seed,2023-01-23,0.0,Seed,0.0,1.0,1-10,Private,,,,,,2,4,2020,25308,False,False
Get Web Builder,2020-01-01,https://getwebbuilder.com/,"Miami, Florida, United States","Design, Internet Services, Software","Internet, Software, Web Design",2144366.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,74157,False,False
MySyde,2022-03-10,http://www.mysyde.com,"Morgan Hill, California, United States","Commerce and Shopping, Other, Sales and Marketing, Software","E-Commerce, Sales, Service Industry, Software",133772.0,"MySyde is THE app that makes it easy to find ""trusted"" local goods, services, and activities in your community.  Not only is it a simple way to find goods and services offered by your neighbors, but you can also see ""who"" in your network (your friends and family) recommend these services.  No more relying on star-ratings and reviews from people you don't know, with MySyde you can trust the services because your friends and family do too.",1-10,1.0,Seed,2022-10-27,250000.0,Pre-Seed,250000.0,3.0,1-10,Private,,,,,,0,2,2022,16881,False,False
COVIDCheckToday,2020-01-01,https://www.covidchecktoday.com,"Los Angeles, California, United States",Health Care,"Health Care, Health Diagnostics",1848421.0,,1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,69766,False,False
