,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
15793,Nephra,2021-05-01,https://nephra.ai,"Champaign, Illinois, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning",116577.0,Nephra leverages state-of-the-art technology like machine learning and artificial intelligence to develop real-time electrolyte monitoring tools for dialysis patients. We seek to support a transition towards personalized care for dialysis patients and to combat the many complications that can arise from infrequent monitoring.,1-10,1.0,Seed,2021-05-01,70000.0,Pre-Seed,70000.0,3.0,1-10,Private,,,,,,0,2,2021,15108,False,False
15939,PackageX,2018-08-24,https://packagex.io,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Cloud Infrastructure, Last Mile Transportation, Shipping, Software, Supply Chain Management, Warehousing",117891.0,"PackageX is revolutionizing the logistics industry with the world's first Headless Logistics Cloud. PackageX empowers retail and commercial enterprises to achieve unprecedented success by delivering unparalleled developer experiences, workflow improvements, customer loyalty, and profitability.",11-50,1.0,Seed,2023-06-02,0.0,Seed,0.0,2.0,11-50,Private,,,,,,2,5,2018,15240,False,False
15952,TranslateFX,2018-11-01,https://www.translatefx.com,"Burlingame, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Document Management, Legal Tech, Machine Learning, Professional Services, Software, Translation Service",118003.0,"TranslateFX provides instant and accurate translation of legal texts between different languages. The company develops AI software to translate professional texts using accurate and consistent legal terminology and concepts. TranslateFX adheres to strict data confidentiality policies. TranslateFX was founded on 2018 and is headquartered in Burlingame, California.",1-10,1.0,Seed,2019-02-01,500000.0,Pre-Seed,500000.0,1.0,1-10,Private,,,,,,0,5,2018,15250,False,False
15999,Westcott Multimedia,2021-12-07,https://www.westcottmultimedia.com,"Santa Monica, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Marketing Automation, Media and Entertainment",118401.0,"Orange is a signals-based automated advertising platform for creative industries. Their vision is to democratize access to promotion for independent artists and the companies that support them. The company was founded in 2017 and is based in Santa Monica, California.",1-10,3.0,Seed,2021-05-01,0.0,Seed,120000.0,1.0,1-10,Private,,,,,,1,2,2021,15296,False,False
16003,Chex.ai,2020-01-01,https://www.chex.ai/,"Santa Clara, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),118441.0,Chex.ai is a virtual auto-inspection platform completed through mobile phones.,11-50,1.0,Seed,2022-01-10,120000.0,Pre-Seed,120000.0,,11-50,Private,,,,,,0,4,2020,15300,False,False
16007,For Sure Fit,2021-01-01,https://forsurefit.com/,"Lincoln, Nebraska, United States","Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Hardware, Science and Engineering, Software","3D Technology, Apparel, Artificial Intelligence (AI), Fashion",118449.0,"For Sure Fit is a developer of virtual trial software with an AI foundation for fashion e-commerce companies. It provides online clothing merchants with the power to improve consumer engagement, decrease returns, increase conversions, and collect customer data. They provide consumers and retailers with AI technologies.",1-10,2.0,Seed,2022-06-04,100000.0,Pre-Seed,200000.0,,1-10,Private,,,,,,0,3,2021,15304,False,False
16031,CloudShore,2022-01-01,https://www.CloudShore.ai/,"The Woodlands, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),118641.0,"CloudShore is a software platform that helps add intelligence to the automation efforts at an accelerated pace using Artificial Intelligence by applying ready-to-implement Machine Learning algorithms linked with pre-configured SAP actions. CloudShore features Anomaly Detection AI algorithms and pre-configured SAP Actions, which run on an Internet Information Services server (IIS) as APIs that can be called from any RPA engine on the market, mostly connecting with SAP through BAPIs (Business APIs). They detect transactional irregularities using Machine Learning in addition to reading, writing or deleting entries without using SAP's graphical interface.",11-50,1.0,Seed,2021-04-01,1200000.0,Pre-Seed,1200000.0,4.0,11-50,Private,,,,,,0,2,2022,15326,False,False
16114,Patron Consumer Intelligence,2020-04-02,http://patrontec.com,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Retail Technology, SaaS, Software",119224.0,"Patron is a SaaS platform for site-selection and on-going retail store performance monitoring. We marry large datasets such as census data, foot-traffic, auto-traffic and social metadata to private data such as sales, inventory, and cashflow.   Keywords: Omnichannel, Commercial Retail, Big Data for SMEs, Geospatial Analytics, Foot Traffic",1-10,1.0,Seed,2020-04-20,250000.0,Pre-Seed,250000.0,2.0,1-10,Private,,,,,,0,3,2020,15404,False,False
16117,MDW.io,2018-04-01,https://www.mdw.io,"New York, New York, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Financial Services, Health Care, Other, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Cryptocurrency, Health Care, Marketplace",119283.0,"A DECENTRALIZED BLOCKCHAIN PLATFORM  CONNECTING HEALTHCARE FACILITIES,  RADIOLOGISTS AND AI ALGORITHMS",11-50,1.0,Seed,2018-04-01,500000.0,Seed,500000.0,5.0,11-50,Private,,,2.0,0.0,Computing; Calculating,0,5,2018,15407,False,False
16217,Reply Tech,2022-10-01,http://www.replytech.ai,"Miami, Florida, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Information Technology, Internet Services, Software","Application Performance Management, Big Data, Business Intelligence, Data Integration, Data Visualization, E-Commerce Platforms, Machine Learning, Marketplace, Price Comparison",120221.0,,1-10,1.0,Seed,2023-03-01,120000.0,Pre-Seed,120000.0,4.0,1-10,Private,,,,,,0,1,2022,15498,False,False
16243,"Trailmapper, Inc.",2020-05-29,https://trailmapper.io/,"Concord, New Hampshire, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Design, Government and Military, Information Technology, Software","Analytics, Apps, Data Mining, Data Visualization, Information Services, Politics, Predictive Analytics, Software",120484.0,"Web application interface allows political organizations access to Trailmapper's rich political data assets and sophisticated analysis used to develop, test, and execute effective political campaign strategies.",11-50,2.0,Seed,2022-12-01,75000.0,Seed,100000.0,1.0,11-50,Private,,,,,,0,3,2020,15519,False,False
16246,Numeric,2021-05-01,https://www.numeric.io/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software","Accounting, Analytics, Artificial Intelligence (AI), FinTech, Software",120508.0,"Companies rely on Numeric to ensure their financial data is accurate, automate the month-end close, and generate real-time insights. Rated 4.9 / 5 on G2",11-50,1.0,Seed,2021-05-01,0.0,Seed,0.0,,11-50,Private,,,,,,2,2,2021,15522,False,False
16280,Floworks,2021-12-21,https://www.floworks.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Sales Automation",120755.0,"We provide a natural language interface on conversation apps like Slack, Teams and Gmail for users to connect with their work applications like CRMs, ERPs, project management tools, emails and calenders. Users can now get any thing done on these apps by just taking to them in plain english.",11-50,3.0,Seed,2023-07-31,900000.0,Seed,1455000.0,2.0,11-50,Private,,,,,,0,2,2021,15555,False,False
16297,Steer Health,2021-01-01,https://steerhealth.io,"Irving, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Software",120916.0,"Steer Health helps healthcare organizations engage in real-time, personalized conversations with the right patients at the right time, so they can build trust, reduce costs and accelerate their growth.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,15569,False,False
16308,Hannah Systems,2018-09-01,https://www.hannahsystems.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Developer APIs, Developer Platform, Information Services, Machine Learning, SaaS, Software",121004.0,"Hannah Systems’ mission is to deliver open and anonymous traffic data, never utilizing personal information, bringing focus to the most important tasks at hand, reducing emissions, improving congestion, and ultimately changing the way we live. Hannah Systems is making a difference in a progressive and socially beneficial way and we are emphasizing this objective by becoming a Public Benefit Corp. Hannah is a B2B software company that creates openness and the democratization of data, free from the location-based advertising business model.  The Hannah Systems AI was developed by a team of PhDs and traffic engineers and provides detailed intersection data, resulting in a more comprehensive view of the city leading to less time spent in traffic.  At Hannah Systems we enhance traffic data with AI technology and share this anonymous data via our open data platform. This enriched information enables analysis of traffic patterns and pedestrian activity, and reduces travel time, pollution, and congestion. Hannah Systems’ enhanced data can help cities redesign light phasing and surface new routes that can genuinely improve travel times. Traffic information is the catalyst that can bring about change, however, data has become increasingly more personalized and is a protected and proprietorial asset that it is not being utilized to help our cities. The Hannah Systems detailed traffic information makes travel more efficient, reducing the stress and anxiety of city driving, reducing emissions and making roads safer. The Hannah Systems open data platform is the foundation for companies looking to improve pedestrian safety, reduce emissions, streamline traffic and address the needs of the AV industry. Hannah Systems is partnering with cities around the globe in order to deliver the next generation of open, anonymous, and ethically managed traffic data. Hannah provides a deep understanding of congestion problems through advanced analytics, microsimulation of every intersection, a macro view of the overall city and the Hannah Systems’ Traffic AI.",1-10,2.0,Seed,2019-07-01,100000.0,Pre-Seed,200000.0,4.0,1-10,Private,,,,,,0,5,2018,15579,False,False
16328,Utiliz,2020-01-01,https://www.utiliz.app,"Evansville, Indiana, United States","Artificial Intelligence (AI), Data and Analytics, Software","Machine Learning, SaaS, Software",121185.0,Utiliz is a B2B SaaS platform for a company that provides water infrastructure.,1-10,1.0,Seed,2023-06-29,80000.0,Seed,80000.0,,1-10,Private,,,,,,0,4,2020,15597,False,False
16382,BlueArch,2021-05-17,https://www.bluearch.io,"Seattle, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Infrastructure, Cloud Management, Predictive Analytics",121672.0,"BlueArch is your always-on cloud advisor, providing a single pane of glass and ml-powered recommendations to help you reduce tech-debt and optimize cloud performance.",1-10,1.0,Seed,2021-06-01,100000.0,Pre-Seed,100000.0,2.0,1-10,Private,,,,,,0,2,2021,15647,False,False
16390,SportAI,2020-01-01,https://sportai.io/,"Birmingham, Alabama, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software, Sports","Artificial Intelligence (AI), Mobile Apps, Sports",121727.0,"SportAI develops a mobile app integrated with AI, that is designed to help anyone understand Fantasy Sports. It was started in 2020 and is based in Birmingham, Alabama.",1-10,1.0,Seed,2021-09-27,75000.0,Seed,75000.0,2.0,1-10,Private,,,,,,0,4,2020,15655,False,False
16399,2B0 (To Be Zero),2019-11-15,https://2b0.io,"Menlo Park, California, United States","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software, Sustainability","Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Consumer Software, Information Technology, Internet of Things, Machine Learning, Recycling, Sustainability, Waste Management",121833.0,"The patented 2B0 IOT robot uses AI to auto-sort and process recyclable materials in homes, offices and retail locations. 2B0 integrates unique solutions and services for residential lifestyles and commercial applications. By reducing friction to recycle material while monitoring product consumption, 2B0's intelligent stack allows customers to be informed and rewarded using Sustainability as a Platform (SaaP).",1-10,2.0,Seed,2020-10-30,250000.0,Seed,500000.0,2.0,1-10,Private,,,,,,0,4,2019,15664,False,False
16502,Nakamoto & Turing Labs,2018-03-31,https://ntlabs.io,"New York, New York, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Consulting",122815.0,"Nakamoto & Turing Labs is a research institute that offers consulting, investment, and education services. Through blockchain and artificial intelligence, they offer education and investment. Their accelerator programs are dedicated to supporting and ushering in a new wave of blockchain and AI applications.",11-50,1.0,Seed,2018-03-31,2000000.0,Pre-Seed,2000000.0,3.0,11-50,Private,,,,,,0,5,2018,15758,False,False
16511,Patient Forecaster,2019-11-10,https://patientforecaster.com,"Greenwood Village, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Information Technology, Precision Medicine",122896.0,"Patient Forecaster is an AI-powered precision staffing platform, offering Emergency Department and Urgent Care Center leaders' greater predictability of patient volumes, bed capacity, staff scheduling and hospital admissions. Real-Time Data Feeds Real-time monitoring of external data including COVID-19, Flu Index, Weather, Air Quality, Local Events, and Holidays. Schedule Optimization Optimized staff schedules for Nurses, Techs, APPS and Physicians including start/stop time, shift length, patients per hour, patients per shift and required staff ratios. Hospital Operations Shift monitoring & hourly alerts indicating needed shift adjustments triggered by increases or decreases in patient volumes and the required staff coverage (ED and hospital).",1-10,1.0,Seed,2020-07-01,150000.0,Pre-Seed,150000.0,3.0,1-10,Private,,,0.0,1.0,,0,4,2019,15767,False,False
16629,Lunary Sleep and Longevity,2022-02-11,https://about.sona.health,"Delaware City, Delaware, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Gaming, Health Care, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Gamification, Health Care, mHealth, Personal Health, Personalization, Predictive Analytics, Wellness",123931.0,"Good Health Starts With Good Sleep. Lunary is aimed to make people sleep better. Here is what we have for you: - Take a sleep quiz that helps discover what can be improved in your sleep. - Follow everyday tasks to get more energy and stop suffering from Insomnia - Learn valuable insights about your body, sleep, psychics, nutrition, and many more - Lower stress, relax and learn how stress affects your life and sleep - Experience guided meditation to prepare yourself for a restful night's sleep - Set your regime and stick to a healthy way of sleeping with regime tools - Log your sleep hours, mood and coffee intake to track what can cause insufficient sleep - And many more useful features to come :) Sona is also integrated with HealthKit so you don't need to leave the application to get your sleep data.",1-10,1.0,Seed,2021-02-11,50000.0,Pre-Seed,50000.0,1.0,1-10,Private,,,,,,0,2,2022,15877,False,False
16640,Maverick IQ,2019-01-01,https://maverickiq.com/,"Atlanta, Georgia, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning",123992.0,,11-50,1.0,Seed,2023-09-11,120000.0,Pre-Seed,120000.0,,11-50,Private,,,,,,0,5,2019,15887,False,False
16662,Evolve Media AI,2020-01-01,https://evolvemedia.ai/,"New Orleans, Louisiana, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Events, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Events, Photo Editing, Photography",124226.0,"Evolve Media AI transforms event attendees into artistic partners through their algorithm that stitches together the best shots and clips. Hosts simply ask attendees to scan a QR code with their phones. After the event is over, those attendees have the option of uploading their videos and photos to the cloud. If the footage isn’t great, the AI editor or user can ignore it and find another angle.",1-10,3.0,Seed,2022-01-06,250000.0,Seed,567500.0,1.0,1-10,Private,,,,,,0,4,2020,15907,False,False
16667,Secuvy Inc,2019-01-01,https://secuvy.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Privacy, SaaS, Software",124252.0,"Secuvy.ai harnesses self-learning AI to automate data security, privacy, and governance for today's enterprises. This revolutionary approach streamlines and achieves greater accuracy with sensitive data discovery so organizations can easily comply with global data privacy laws and regulations. Correlate and build a contextual graph of your unstructured and structured data at petabyte scale.",11-50,1.0,Seed,2023-03-17,0.0,Seed,0.0,2.0,11-50,Private,,,,,,2,5,2019,15911,False,False
16776,FiLiCiTi,2022-01-01,https://filiciti.com/,"La Crescenta, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care",125269.0,"At FiLiCiTi, we are dedicated to the advancement of mental health and well-being, a commitment inspired by the unalienable rights of life, liberty, and the pursuit of happiness as outlined in the US Declaration of Independence. Our innovative FiLiCiTi Cycle platform employs a blend of Ai technology, neuroscience, and psychological principles, offering a holistic solution for individuals, our ""Explorers"", to monitor, reflect, and improve their mental well-being under the guidance of our trusted professionals, the ""Guiders."" The unique features of our platform include the Flow-in-Life App, Mind Gem and Mind CiTi Frameworks, and Guiders Nexus. These tools offer a data-driven exploration of mental health, aiding individuals in their pursuit of happiness. These technologies also address the pressing concern of the techno-psychological gap by seamlessly integrating the advances in neuroscience and technology with personal well-being.",1-10,1.0,Seed,2023-06-09,100000.0,Seed,100000.0,2.0,1-10,Private,,,,,,0,2,2022,16007,False,False
16791,Beam,2022-01-01,https://beam.ai/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Generative AI, Machine Learning, Natural Language Processing",125407.0,"Beam builds generative AI agents that help organizations’ automate repetitive manual tasks, boost productivity, and enable teams to focus on the work that really matters. Powered by LLMs and custom databases, our agents seamlessly integrate with business applications to automate any repetitive task teams encounter in their day-to-day. From Product and Innovation to Sales, Marketing or HR - AI agents are customized to the needs of corporate staff, easy to set up, and support teams where they need them most.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,2,2022,16021,False,False
16828,Fliki,2021-12-15,https://fliki.ai,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),125674.0,"Fliki is a Text to Speech & Text to Video converter that helps you create audio and video content using AI voices in less than a minute. With Fliki you can convert your blog articles or any text-based content into a video, podcasts or audiobooks with voiceovers in a few clicks. Fliki offers 700+ voices in 65+ languages and 100+ regional dialects. The only Text-to-Speech solution with so many loaded features along with the best user experience. What are you waiting for? Boost your user base by republishing your content in different formats on Youtube, TikTok, Spotify and Instagram.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,2,2021,16052,False,False
16928,Vocalto,2019-04-16,http://vocalto.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Machine Learning, Natural Language Processing, Software",126360.0,"Vocalto, a fully automated healthcare documentation tool, is returning humanity to medicine through the use of Artificial Intelligence.  Vocalto uses Natural Language Processing and Machine Learning to parse a conversation between a patient and their physician and create a transcript.  From this transcript, Vocalto creates a recognizable SOAP note based on the conversation.  Finally, Vocalto parses the information in the transcript and sends Medications, Allergies, Diagnoses and other data directly into the physicians Electronic Medical Record for storage.  Automating physician documentation is posed to remove dozens of documentation hours from physicians each week and bring back back the face-to-face interaction that both physicians and patients crave.",1-10,1.0,Seed,2020-01-01,1000000.0,Seed,1000000.0,2.0,1-10,Private,,,,,,0,4,2019,16143,False,False
16983,Vetelligence,2021-07-01,https://vetelligence.com,"Kansas City, Missouri, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Artificial Intelligence (AI),126827.0,"Vetelligence utilizes data that enables organizations to create talent relationships with the military community through AI. Vetelligence was founded in 2021 and was headquartered in Missouri, USA.",1-10,2.0,Seed,2023-07-11,100000.0,Pre-Seed,200000.0,1.0,1-10,Private,,,,,,0,2,2021,16195,False,False
17049,Neutrino AI,2022-01-01,https://www.neutrinoapp.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Natural Language Processing, Software",127575.0,,1-10,1.0,Seed,2023-04-10,0.0,Pre-Seed,0.0,,1-10,Private,,,,,,2,2,2022,16254,False,False
17138,Hirefly,2021-05-01,https://www.hirefly.ai/,"Saratoga, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Recruiting",128353.0,Hirefly is an AI assistant that seamlessly connects knowledge workers to great employers to automate the hiring process. Hirefly is backed by Nexus Venture Partners (first investors in Apollo and Postman) and an influential group of Silicon Valley angels consisting of HR tech leaders and successful entrepreneurs.,11-50,0.0,,,0.0,,0.0,3.0,11-50,Private,,,,,,6,2,2021,16333,False,False
17158,DockPad,2019-03-02,https://dockpad.io,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Real Estate, Software, Transportation","Analytics, Automotive, Construction, Predictive Analytics, Real Estate, Transportation",128549.0,"Leverage us to speed up scheduling, visualize project schedules, and resolve schedule delays. ​Easily visualized upcoming project milestones using views for LookAheads, Current Week Tasks,  Backlogs, and Risk Analysis using our AI engine Use AI to forecast potential delays and cost impact based on Weather, Labor, Equipment, Required Documentation and More Request Tasks Updates through email or in-app and with read receipts.",1-10,1.0,Seed,2020-10-10,100000.0,Pre-Seed,100000.0,1.0,1-10,Private,,,,,,0,5,2019,16351,False,False
17169,RapidCanvas,2021-01-01,https://www.rapidcanvas.ai,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning, Predictive Analytics, Software",128625.0,"RapidCanvas is the AI platform for business users. With RapidCanvas, organizations can develop bespoke high-performance, production-grade AI solutions 10x faster, all without the need for specialized data science knowledge or coding expertise, or any investments in professional services. Leveraging cutting-edge AutoAI technology, RapidCanvas effortlessly navigates users through an automated journey from raw data to explainable and actionable predictions. RapidCanvas works with industry leaders in manufacturing, direct-to-consumer, real estate, and financial services, empowering them to unlock the full potential of AI. For more information visit rapidcanvas.ai.",11-50,1.0,Seed,2024-03-13,7500000.0,Seed,7500000.0,3.0,11-50,Private,,,,,,0,3,2021,16362,False,False
17186,MedlyticsAi,2020-04-13,https://MedlyticsAi.com,"San Diego, California, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Electronic Health Record (EHR), Health Care, Information Technology",128772.0,"MedlyticsAi is standardizing data for all healthcare systems to enable interoperability & precision health.  We believe patients should be at the center of healthcare and support the industry’s transition to a value-based-care system.  We're helping to bridge the gap between disparate health systems & their inability to streamline systematic communication of health data; to achieve better patient outcomes and increase human longevity.  How do we do this? Our solution’s ability to query patient information, significantly faster and much more accurate than any front-end API, will help physicians reduce the time spent looking at a computer screen.  We do the hard work on the back-end, so physicians can do the critical work on the front-end; providing a high efficacy driven & personalized care approach.   How do we do this? MedlyticsAi’s population health management platform leverages natural language processing , natural language understanding, machine learning, and other technological innovations; improving hospital workflow & enabling each physician to see, on average, 3 more patients per day/11.4hr work shift.  We do this by significantly reducing the time spent on EHR chart review, which also helps to reduce physician burnout.  The ability to transform existing health care data into the new standard (FHIR), will spark innovation and yield better patient outcomes.  Our technology is strategically built to implement and comply with the standards set forth by Health level 7,   FHIR v4.0.1, and the US Core Implementation Guide v3.1.0. We understand FHIR guidelines will continue to improve as we collectively journey on this endeavor.  Thus, we are fully committed to monitoring, understanding, and quickly implementing improved updates to adhere to these evolving guidelines.  Results are achieved through action.  We analogize compliment pairings like theory and practical application, to depict  interoperability and MedlyticsAi.",1-10,1.0,Seed,2021-10-01,250000.0,Pre-Seed,250000.0,1.0,1-10,Private,,,,,,0,3,2020,16379,False,False
17211,Ocular Diagnostics,2021-08-01,https://oculardiagnostix.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Health Care, Hospital, Machine Learning, Medical Device, Predictive Analytics, Psychology, Software",129011.0,"We're an innovative, venture-backed company focused on increasing the accuracy of neurobehavioral diagnostics, starting with ADHD. Our platform enables accurate and efficient detection of ADHD using different types of oculometrics and AI-based predictive algorithms. We make diagnosis simpler, cheaper, and more accurate, using artificial intelligence to transform the way neurobehavioral diagnosis is delivered.",1-10,2.0,Seed,2022-05-31,100000.0,Seed,130000.0,2.0,1-10,Private,,,,,,0,2,2021,16403,False,False
17215,Rekruut,2022-01-01,https://www.rekruutmd.com/,"New York, New York, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Health Care, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Health Care, Recruiting",129046.0,"Rekruut helps organizations expedite their physician credentialing needs through innovative design, an AI-based physician recruitment platform, and digital healthcare. It was designed to streamline the credentialing process, reduce lost facility revenue, and increase the quality of patient care.",1-10,1.0,Seed,2021-10-01,150000.0,Pre-Seed,150000.0,,1-10,Private,,,,,,0,2,2022,16407,False,False
17221,Kunato,2019-01-01,https://kunato.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Internet, Machine Learning, Software",129093.0,"Kunato does more than just provide services, it creates solutions. With the world of content creation rapidly progressing, one distinct problem area was identifying the value of the content produced. This is where Kunato stepped in with its state-of-the-art patented AI technology namely Kunato.Ai, which prices content in real-time by using a quantitative (deep learning) pricing engine, with no human intervention, based on content supply and uniqueness, spot and future demand, event type, interest, need, buying power, quality, brand, inter alia. With Kunato Valuation, you see the true, unbiased value of the content you create or consume. Just in the first six months of operations, the company has seen tremendous growth with more than 27 Million users from 60 partnerships and significant product upgrades and innovation. Based in the Bay Area (USA) with teams in New York, New Delhi, Bombay & Bangalore, Kunato has become the valuation index for content.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,5,2019,16412,False,False
17237,Ascender AI,2019-11-01,https://www.ascender.ai/,"Mclean, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Data Visualization, Machine Learning, Natural Language Processing",129184.0,"Ascender AI is an angel-funded company that wants to completely transform how people interact, discover, and consume information. data exploration and visualization using machine learning and artificial intelligence methods.",1-10,1.0,Seed,2019-11-01,200000.0,Seed,200000.0,4.0,1-10,Private,,,3.0,1.0,,0,4,2019,16427,False,False
17256,Picogrid,2020-01-01,https://picogrid.com,"El Segundo, California, United States","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Government, Industrial, Military",129383.0,,1-10,2.0,Seed,2020-12-08,0.0,Pre-Seed,0.0,2.0,1-10,Private,,,,,,2,4,2020,16445,False,False
17272,Sage Medical,2020-01-01,https://www.sagemedical.io,"Denver, Colorado, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Billing, Health Care",129607.0,Sage Medical is an AI-driven medical coding and billing platform that remedy the gaps in the healthcare coding and billing system.,1-10,1.0,Seed,2021-11-23,100000.0,Pre-Seed,100000.0,1.0,1-10,Private,,,,,,0,4,2020,16460,False,False
17279,COUTURME,2019-01-03,https://couturme.com/,"San Mateo, California, United States","Artificial Intelligence (AI), Clothing and Apparel, Community and Lifestyle, Data and Analytics, Design, Events, Science and Engineering, Software","Artificial Intelligence (AI), Fashion, Wedding",129633.0,"COUTURME offers AI-powered custom designed dresses online, starting with formal and bridal gowns. The company was founded in 2019 and is based in San Mateo, California.",1-10,2.0,Seed,2019-03-18,150000.0,Pre-Seed,650000.0,1.0,1-10,Private,,,0.0,1.0,,0,5,2019,16467,False,False
