,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
143,Altos Labs,2021-04-15,https://altoslabs.com/,"San Francisco, California, United States","Biopharma, Biotechnology, Health Care, Health Diagnostics, Medical",251-500,"2,263","Altos Labs is a biotechnology company focused on cellular rejuvenation programming to restore cell health and resilience, with the goal of reversing disease to transform medicine. The company comprises a community of leading scientists, clinicians, and leaders from both academia and industry working together towards this common mission. Altos has operations in the San Francisco Bay Area and San Diego, and in Cambridge, UK, with significant collaborations in Japan.","Biotechnology, Health Care, Science and Engineering",1.0,Early Stage Venture,2021-01-01,3000000000.0,Series A,3000000000.0,Private,,,,,,3,258,False
149,Monogram Health,2019-01-01,https://www.monogramhealth.com,"Brentwood, Tennessee, United States","Health Care, Hospital, Wellness",251-500,"2,273","Monogram Health is a value-based specialty provider of in-home evidence-based care and benefit management services to patients suffering from polychronic conditions such as chronic kidney disease and end-stage renal disease. To transform the way health care is delivered for those with polychronic conditions, the company uses an innovative in-home care delivery model and a technology-driven array of evidence-based clinical services, such as complex case and disease management, utilization management, and medication therapy management. This innovative care model has been shown to improve patient outcomes and quality of life while lowering medical costs across the healthcare continuum. Monogram Health, based in Nashville, Tennessee, has numerous value-based partnerships with leading health plans and risk-bearing providers to care for patients across all insurance products and 34 states.",Health Care,5.0,Late Stage Venture,2023-01-09,375000000.0,Series C,555149998.0,Private,,,0,4.0,,5,259,False
159,Verdagy,2021-01-01,https://verdagy.com,"Moss Landing, California, United States","Energy, Manufacturing, Renewable Energy",11-50,"2,285","Verdagy is innovating water electrolysis technology for the large-scale production of green hydrogen. Verdagy's industry-leading solution achieves both the lowest upfront capital costs and the lowest unit economics for production. Verdagy operates laboratory and pilot plant facilities in Moss Landing, California to further develop and rapidly scale the technology platform.","Energy, Manufacturing, Sustainability",3.0,Early Stage Venture,2023-08-08,73000000.0,Series B,116999965.0,Private,,,16,2.0,Electrolytic Or Electrophoretic Processes,3,260,False
160,Equip Health,2019-01-01,http://equip.health,"San Diego, California, United States","Fitness, Health Care, Personal Health, Wellness",101-250,"2,286","Equip is a virtual program helping families recover from eating disorders at home with comprehensive, gold-standard care created by experts in the field and people in recovery. Equip’s five-person care teams include dieticians, physicians, therapists, and mentors who deliver wrap-around support to provide families progress and lasting recovery. Kristina Saffran and Erin Parks co-founded the company in San Diego, California in 2019.","Health Care, Sports",4.0,,2023-09-19,19999984.0,Venture - Series Unknown,94689984.0,Private,,,,,,5,261,False
174,Mana.bio,2021-01-01,https://www.mana.bio,"San Francisco, California, United States",Biotechnology,,"2,309","Mana.bio is an AI based drug delivery startup, focusing on gene therapy including DNA and RNA-based therapeutics, and vaccines.","Biotechnology, Science and Engineering",3.0,Seed,2023-10-10,19500000.0,Seed,29500000.0,Private,,,,,,3,262,False
183,ClearFeed,2021-01-01,https://clearfeed.ai,"Beaverton, Oregon, United States","Collaboration, SaaS, Software",11-50,"2,328","Clearfeed is a platform that uses artificial intelligence to streamline service desks on Slack, it converts multiple service desks into a single queue of requests, making it easier for responders to manage and prioritize their workload. Clearfeed's AI technology also detects SLA breaches, ensuring that requests are addressed promptly. Responders can update the status of requests, assign ownership, and ensure that all requests are closed out. The platform is designed to improve efficiency and productivity for service desk teams, allowing them to focus on providing high-quality service to their customers.","Other, Software",2.0,Seed,2023-10-04,2700000.0,Seed,2700000.0,Private,,,,,,3,263,False
184,Hippocratic AI,2022-01-01,https://www.hippocraticai.com,"California, Maryland, United States","Artificial Intelligence, Health Care, Information Technology",1-10,"2,330","Hippocratic AI develops safety-focused large language models with a focus on non-diagnostic, patient-facing applications. The majority of language models undergo pre-training using the common crawl of the Internet, which might contain inaccurate and deceptive information. In contrast, Hippocratic AI is significantly prioritizing the acquisition of evidence-based healthcare content through legal means, setting it apart from these language models.","Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",2.0,Seed,2023-07-25,15000000.0,Seed,65000000.0,Private,,,,,,2,264,False
185,Instnt,2019-05-01,http://www.instnt.org,"New York, New York, United States","Banking, Financial Services, FinTech, Insurance, Software",1-10,"2,331","Instnt Inc. is a public benefit corporation on a mission to bring inclusion and instant account opening experiences for businesses and their customers. It is a one-of-a-kind collaborative effort between industry thought leaders, technology vendors and the private and public sector to solve for both sides of the on-boarding problem with a “Stripe for on-boarding” service offering and a new, interoperable Open Trust Protocol to make instant consumer acceptance a global reality.","Financial Services, Lending and Investments, Software",2.0,Early Stage Venture,2020-12-15,4000000.0,Series A,6900000.0,Private,,,0,1.0,,5,265,False
196,Mitra Chem,2021-01-01,https://mitrachem.com,"Mountain View, California, United States","Battery, Manufacturing, Renewable Energy",11-50,"2,355",Mitra Chem operates as a lithium-ion battery materials manufacturer. It innovates and commercializes iron-based cathode materials to enable mass-market electrification in transportation and energy storage. The company is driven to industrialize these cathodes in purpose-built inflation reduction act-compliant facilities.,"Energy, Manufacturing, Sustainability",3.0,Early Stage Venture,2023-08-16,40000000.0,Series B,87050007.0,Private,,,,,,3,266,False
198,TruEra,2019-01-01,https://truera.com,"Redwood City, California, United States","Artificial Intelligence, Information Technology, Machine Learning, Software",51-100,"2,363","TruEra is a leader in software solutions that test, analyze, and monitor machine learning. TruEra's AI quality management software solutions quickly improve model quality and build trust, and have become an essential part of the ML workflow and tech stack. The platform is trusted by data science, ML engineering, and MLOps leaders and is delivering value to leading companies in banking, insurance, tech, and publishing, as well as other companies in the Fortune 100.","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",3.0,Early Stage Venture,2022-03-16,25000000.0,Series B,42284998.0,Private,,,1,1.0,,5,267,False
208,Fyllo,2019-01-01,https://hellofyllo.com,"Chicago, Illinois, United States","Advertising, Cannabis, Cloud Computing, Cloud Data Services, Compliance, Enterprise Software, Marketing",101-250,"2,384","Fyllo is on a mission to accelerate the economies of tomorrow. Fyllo’s marketing and regulatory solutions provide the tools, data and integrations needed to drive new growth with speed and scale. Powered by a leading data ecosystem and regulatory database, Fyllo is trusted by Fortune 500 companies and emerging brands to stay competitive and compliant. The company was founded in 2019 and is headquartered in Chicago, Illinois.","Advertising, Community and Lifestyle, Food and Beverage, Health Care, Information Technology, Internet Services, Professional Services, Sales and Marketing, Software",5.0,Late Stage Venture,2021-11-08,40000000.0,Series C,98000000.0,Private,,,0,0.0,,5,268,False
211,1337,2023-04-01,https://1337.org,"New York, New York, United States","Content Creators, Information Technology, Internet, Machine Learning, Media and Entertainment, Social Media",1-10,"2,391","1337 is a generative A1 platform committed to connecting niche communities through hyper-personalized interests. Through its A1-driven Entities, 1337 is providing a new way to co-create with A1, championing an open-source-inspired approach that encourages people to engage with creators, brands and each other in a collaborative fashion.","Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Software",1.0,Seed,2023-10-26,4000000.0,Pre-Seed,4000000.0,Private,,,,,,1,269,False
212,Rymedi,2018-09-01,https://www.rymedi.com,"Greenville, South Carolina, United States","Blockchain, Health Care, Information Technology, Medical, Software, Wellness",11-50,"2,392","Rymedi is the future of patient engagement and connected health. We fully integrate and enhance laboratory operations, bridging the gap between lab performance and patient engagement. We handle the administrative burdens by allowing our clients to focus on clinical tasks.  Our simplified workflows reduce cost of services, providing a unique competitive advantage for customers to win new deals. Our HIPAA compliant platform ensures patient privacy, enables large-scale testing, and provides real-time dashboard analysis.","Blockchain and Cryptocurrency, Health Care, Information Technology, Other, Software",2.0,Early Stage Venture,2023-10-25,9000000.0,Series A,9000000.0,Private,,,0,0.0,Electric Communication Technique,5,270,False
214,Momnt,2020-01-01,https://momnt.com,"Atlanta, Georgia, United States","Consumer, Financial Services, FinTech, Lending",101-250,"2,396","Momnt is a provider of modern lending solutions for businesses to offer affordable, low-friction finance at the moment of need. Their API-based platforms use alternative data sources and machine learning and artificial intelligence-informed decision engines to present real-time loan offers tailored to each individual borrower, all while remaining compliant with the banking industry's current regulatory structure.","Financial Services, Other",4.0,Late Stage Venture,2023-09-06,15000000.0,Series C,33000000.0,Private,,,0,1.0,,4,271,False
215,Pow.bio,2019-01-01,https://www.pow.bio,"Berkeley, California, United States","Biotechnology, Genetics",1-10,"2,397","Pow.bio provides intelligent fermentation services for industrial and synthetic biology, helping turn great ideas into profitable products. We combine continuous fermentation with advanced control methodology to quickly optimize your fermentation process and deliver high yields at low costs. Our scale runs from 1-100 liter capacity for bacteria, yeast, and filamentous fungi.","Biotechnology, Health Care, Science and Engineering",5.0,Early Stage Venture,2023-10-04,9500000.0,Series A,11225000.0,Private,,,,,,5,272,False
218,Figure,2022-01-01,https://www.figure.ai,"Sunnyvale, California, United States","Artificial Intelligence, Machinery Manufacturing, Manufacturing, Robotics",11-50,"2,401","Figure is an AI robotics company that builds a multi-purpose humanoid form robot. The company has created a humanoid robot with the purpose of being introduced into the workforce to tackle problems such as labor shortages, and undesirable or unsafe jobs, and to assist in global supply chain operations. Figure 01 combines the agility of the human body with advanced AI technology to surpass the capabilities of robots designed for specific tasks. It provides assistance in various sectors including manufacturing, logistics, warehousing, and retail.","Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",2.0,,2023-07-17,9000000.0,Venture - Series Unknown,79000000.0,Private,,,,,,2,273,False
221,Plenful,2021-01-01,http://plenful.com,"San Francisco, California, United States","Artificial Intelligence, Data Center Automation, Health Care, IT Infrastructure, Machine Learning, Software",11-50,"2,404","Plenful optimizes healthcare and pharmacy operations through intelligent workflow automation, data configuration and centralization, and machine learning. The company built a healthcare-focused AI automation platform to unburden staff, deliver meaningful financial and operational results, and drive more efficient patient care outcomes. Plenful is located in San Francisco, California and is backed by leading healthcare and software investors..","Artificial Intelligence, Data and Analytics, Hardware, Health Care, Information Technology, Science and Engineering, Software",1.0,Seed,2023-09-28,9000000.0,Seed,9000000.0,Private,,,,,,3,274,False
223,Hebbia,2020-08-14,http://hebbia.ai/,"New York, New York, United States","Business Intelligence, Machine Learning, Productivity Tools",11-50,"2,407","Hebbia develops AI productivity tools used to reinvent the search engine, helping clients focus on searching for public and private content and making decisions more quickly and confidently.","Artificial Intelligence, Data and Analytics, Software",2.0,Early Stage Venture,2022-06-17,30000000.0,Series A,31100000.0,Private,,,,,,3,275,False
228,League One Volleyball,2019-01-01,http://www.lovb.com,"Los Angeles, California, United States","Sports, Sports Leagues and Teams, Women's",11-50,"2,414","League One Volleyball is a sports platform for female athletes. It specializes in transforming the ambitious potential of volleyball players, from cramped backyard dreamers to professionals, into a nationwide network of celebrated champion athletes. It helps women-led players inspire girls across the country through training, scholarships, and professional development.","Community and Lifestyle, Sports",3.0,Early Stage Venture,2023-09-27,35000000.0,Series B,60000000.0,Private,,,,,,5,276,False
233,Aampe,2020-01-01,https://www.aampe.com,"San Francisco, California, United States","Information Technology, Mobile Apps, Software",1-10,"2,424",,"Apps, Information Technology, Mobile, Software",1.0,Seed,2023-10-05,7500000.0,Seed,7500000.0,Private,,,,,,4,277,False
234,Creatopy,2021-02-08,https://www.creatopy.com,"San Francisco, California, United States","Advertising, Animation, Graphic Design, Productivity Tools",101-250,"2,425",We help brands and creative agencies become highly efficient by decreasing the time they spend on ad production in their end-to-end workflow.,"Advertising, Design, Media and Entertainment, Sales and Marketing, Software, Video",1.0,Early Stage Venture,2023-10-05,10000000.0,Series A,10000000.0,Private,,,,,,3,278,False
235,Diana Health,2019-12-19,http://www.heydianahealth.com,"New York, New York, United States","Health Care, Personal Health, Women's",1-10,"2,426","Diana Health is a network of modern women’s health practices working in partnership with hospitals to reimagine the delivery of maternity and women’s healthcare. We’re on a mission to empower, inspire, and support women to live more fulfilling, healthier lives through a personalized and comprehensive care model that puts women at the center of decision-making.","Community and Lifestyle, Health Care",2.0,Early Stage Venture,2023-10-05,34000000.0,Series B,45000000.0,Private,,,0,1.0,,4,279,False
238,Hermeus,2018-11-01,http://www.hermeus.com,"Atlanta, Georgia, United States","Aerospace, Air Transportation, Infrastructure, Travel",51-100,"2,434","Hermeus is developing Mach 5 aircraft to speed up the global transportation network.  Mach 5 flight is not just supersonic, it's hypersonic. At these speeds, a flight from New York to London is 90 minutes, rather than 7 hours. Its aircraft massively reduces flight times and increases safety for the long haul and business class air travel, enabling businesses to operate with minimal changes to current aviation infrastructure. The company was founded in 2018 and headquartered in Atlanta, Georgia.","Other, Science and Engineering, Transportation, Travel and Tourism",5.0,Early Stage Venture,2022-03-10,100000000.0,Series B,176000000.0,Private,,,0,1.0,,5,280,False
251,Cohere Health,2019-01-01,https://coherehealth.com,"Boston, Massachusetts, United States","Consumer Software, Health Care, SaaS, Software",101-250,"2,453","Cohere Health is a patient-journey-focused software-as-a-service company on a mission to significantly improve the experience of patients, providers, and health plans; increase the quality of care delivered; lower total cost of care; and increase transparency across the patient care journey. Cohere Health was founded in 2019 by Duncan Reece and Siva Namasivayam and is headquartered in Boston, Massachusetts, United States.","Health Care, Software",2.0,Early Stage Venture,2021-04-13,36099972.0,Series B,46099972.0,Private,,,0,0.0,,5,281,False
254,Walnut,2020-01-01,https://walnut.io,"New York, New York, United States","CRM, Information Technology, SaaS, Sales, Software",51-100,"2,461","Walnut offers a failure-free, codeless, and 100% customizable platform that empowers every sales rep to own their successful sales demo experience. It aims to redefine inside sales in the new age. The first-of-its-kind codeless platform integrates with a company's CRMs and data sources, making the process of creating sales demos both automated and customizable. Walnut's drag-and-drop solution eliminates the need for back-end teams and streamlines the demoing process by placing full control back in the hands of the sales team. To achieve a fail-proof experience, the demos are run live, even when the real product is offline.  Founded in 2020 by serial entrepreneurs Yoav VIlner and Danni Friedland, Walnut is headquartered in New York City.","Information Technology, Sales and Marketing, Software",4.0,Early Stage Venture,2022-01-18,35000000.0,Series B,56000000.0,Private,,,,,,4,282,False
255,WeLoveNoCode,2020-07-02,https://welovenocode.com,"San Francisco, California, United States","Internet, Mobile Apps, Software Engineering, Staffing Agency, Web Development",11-50,"2,462","WeLoveNoCode is a program development firm that provides applications to firms faster and affordably with no-code developers. WeLoveNoCode is the creator of an automated platform for swiftly testing hypotheses and creating new applications. The company offers a subscription-based platform through which users can submit any task, such as the development of landing pages, mobile apps, web apps, automation, and design, and will be assigned a developer to complete those tasks, allowing businesses to get unlimited, high-quality app development services at a low cost.","Administrative Services, Apps, Internet Services, Mobile, Science and Engineering, Software",4.0,M&A,2022-04-07,1500000.0,Seed,2900000.0,Private,,,,,,3,283,False
256,PerfectScale,2021-09-01,http://www.perfectscale.io,"Raleigh, North Carolina, United States","Cloud Computing, Cloud Infrastructure, Software",11-50,"2,463","PerfectScale is a team of innovative and passionate DevOps experts, product leaders and software engineers on a mission to make it easy for organizations of any size to optimize their Kubernetes ecosystem continuously. Our solutions empower teams to make quick, data-driven decisions that continuously improve Kubernetes performance and availability while bringing down costs. Visit our website and start your free 30-day trial today!","Hardware, Internet Services, Software",2.0,Seed,2023-10-03,7100000.0,Seed,9600000.0,Private,,,,,,2,284,False
259,Lindy,2023-01-01,https://www.lindy.ai,"San Francisco, California, United States","Artificial Intelligence, Internet, Software, Virtual Assistant, Web Apps",11-50,"2,471","Lindy is an AI assistant that can help with all your tasks, from calendar management and email drafting to contract sending and beyond.","Apps, Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software",4.0,Early Stage Venture,2023-01-05,35000000.0,Series B,49900000.0,Private,,,,,,1,285,False
260,One,2019-01-01,https://www.onefinance.com,"San Francisco, California, United States","Banking, Financial Services, FinTech, Software",51-100,"2,473","One develops an app that boosts the power of peoples paycheck so they have more spending power in their pockets. One helps users optimize their earnings and reach their financial goals faster, seamlessly share money with family and friends, and watch their money grow faster. One seamlessly bridge financial gaps. It was founded in 2019 and is headquartered in San Francisco, California.","Financial Services, Lending and Investments, Software",3.0,Early Stage Venture,2021-08-18,40000000.0,Series B,66000000.0,Private,,,,,,5,286,False
263,Atmosfy,2021-01-01,https://atmosfy.io,"San Francisco, California, United States","Hospitality, Restaurants, Video",51-100,"2,483","Atmosfy is a platform for discovering dining and nightlife through video. It discovers restaurants, bars, nightclubs, and cafes that are near or far away and explores them through video. It also provides reviews and recommendations for all places available, thereby enabling users to decide and choose restaurants and cafes to visit as per their choices. The company was founded in 2021 and is based in San Francisco, California.","Food and Beverage, Media and Entertainment, Travel and Tourism, Video",3.0,Seed,2023-08-09,12000000.0,Seed,12000000.0,Private,,,,,,3,287,False
274,Edge Impulse,2019-06-01,https://www.edgeimpulse.com,"San Jose, California, United States","Computer, Machine Learning, Web Apps",51-100,"2,499",Edge Impulse is the platform for developing intelligent devices using embedded machine learning (TinyML).,"Apps, Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Software",3.0,Early Stage Venture,2021-12-09,34000000.0,Series B,54400000.0,Private,,,0,3.0,,4,288,False
276,Revefi,2021-12-01,https://www.revefi.com,"Redmond, Washington, United States","Analytics, Enterprise Applications, Enterprise Software, IT Infrastructure",11-50,"2,503","Founded in 2021 by ThoughtSpot co-founders Sanjay Agrawal and Shashank Gupta, the Revefi Data Operations Cloud disrupts the data observability experience of today with a converged solution for data quality, spend, usage and performance management. Revefi’s proprietary Intelligence Layer delivers AI-powered insights, enabling rapid detection and resolution of critical data issues. Revefi empowers data teams to optimize ROI, streamline costs and elevate their data observability and performance through an integrated zero-touch platform. To learn more, please visit revefi.com.","Apps, Data and Analytics, Information Technology, Software",1.0,Seed,2023-09-27,10500000.0,Seed,10500000.0,Private,,,,,,2,289,False
285,True Anomaly,2022-01-01,https://www.trueanomaly.space/,"Denver, Colorado, United States","Aerospace, Machinery Manufacturing, Space Travel",11-50,"2,514","True Anomaly manufactures space materials to deliver security and sustainability systems and solutions in the space domain. It was founded in 2022 and is headquartered in Denver, Colorado.","Manufacturing, Science and Engineering, Transportation",4.0,Early Stage Venture,2023-09-21,17400000.0,Grant,58019000.0,Private,,,,,,2,290,False
288,Rain,2019-07-01,https://rainapp.com,"Nashville, Tennessee, United States","Employee Benefits, Financial Services, FinTech, Payments",251-500,"2,518","Rain is a fast-growing early wage access and financial wellness benefit vendor globally. With operations in the U.S., Brazil, and India, Rain provides a voluntary employee benefit that is free for employers to implement. Rain integrates with payroll and timekeeping vendors to create a seamless process with almost zero work for the employer.  Through Rain, not only can employees access their pay any day of the week (instead of waiting the traditional two weeks for payday), but they can also take advantage of a free pay card, the ability to instantly access tips after a shift, and other financial wellness tools such as a credit score builder and financial literacy materials. Rain also can offer deep discounts on dozens of other voluntary benefits such as prescriptions and dental care. Employers win by having one of the leading employee benefits that workers are asking for and by seeing reductions in turnover and increases in job applications.","Administrative Services, Financial Services, Health Care, Payments",9.0,Early Stage Venture,2023-03-21,66000000.0,Series A,128600000.0,Private,,,,,,4,291,False
301,Panther,2018-08-14,https://panther.com,"San Francisco, California, United States","Analytics, Cloud Security, Cyber Security, IT Infrastructure, Open Source",101-250,"2,546","Panther Labs provides a refreshingly practical platform for threat detection and response, powered by a highly scalable security data lake and detection-as-code.  Panther was founded in 2018 by Jack Naglieri in San Francisco, California.","Data and Analytics, Information Technology, Privacy and Security, Software",4.0,Early Stage Venture,2021-12-02,120000000.0,Series B,140500000.0,Private,,,0,2.0,,5,292,False
317,Rewind AI,2020-01-01,https://www.rewind.ai,"New York, New York, United States","Apps, Information Technology, macOS, Search Engine",11-50,"2,572","Rewind is a personalized AI powered by everything you’ve seen, said, or heard.","Apps, Information Technology, Internet Services, Platforms, Software",3.0,Early Stage Venture,2023-07-25,,Series A,27893625.0,Private,,,,,,4,293,False
318,Story Protocol,2022-01-01,https://www.storyprotocol.xyz,"Bellevue, Washington, United States","Blockchain, Information Technology, Internet, IT Infrastructure",,"2,573","Story Protocol is a web3 technology developer whose goal is to change the way narrative universes are formed. The company's technology enables creators to develop a narrative plot with ownership and motivation by allowing them to create, control, and license intellectual property on-chain.","Blockchain and Cryptocurrency, Information Technology, Internet Services, Other",2.0,Early Stage Venture,2023-09-06,25000000.0,Series A,54300000.0,Private,,,,,,2,294,False
324,Jeli.io,2019-08-01,https://jeli.io,"San Francisco, California, United States","Information Technology, Software, Software Engineering",11-50,"2,584","Jeli is an incident analysis platform that combines more comprehensive data to deliver more proactive solutions and identify problems. It goes beyond technical errors and collects data on contributors that are so often overlooked, like team coordination and human factors.","Information Technology, Science and Engineering, Software",2.0,M&A,2022-09-28,15000000.0,Series A,19000000.0,Private,,,0,1.0,,4,295,False
325,PROTO,2019-01-01,https://protohologram.com/,"Los Angeles, California, United States","Brand Marketing, Digital Signage, Higher Education, Media and Entertainment, Retail Technology, Software, Telecommunications, Unified Communications, Video Conferencing, Video Streaming",11-50,"2,585","PORTL Inc. makes devices that present volumetric, 4K, life-lie, interactive presentations of people and things, as well as the software, cloud support and content to run them. PORTL is active in experiential marketing, education, telehealth, entertainment, and corporate communications. The devices allow anyone to ""beam"" anywhere as what is popularly referred to as a hologram. Partners have included AT&T, T-Mobile, DHL, HBO, Major League Soccer, Mercedes Benz Stadium, Christies, amfAR, and IWC watches.","Commerce and Shopping, Content and Publishing, Education, Hardware, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Software, Video",4.0,,2022-12-19,,Venture - Series Unknown,22500000.0,Private,,,2,4.0,,5,296,False
331,Transak,2019-01-01,http://transak.com,"Brooklyn, New York, United States","Cryptocurrency, Financial Services, FinTech, Payments",51-100,"2,594","Transak is a global web3 payment and onboarding infrastructure provider, facilitating seamless transitions between traditional finance and crypto assets. Its product suite includes robust fiat-to-crypto services (On/Off-Ramps), a fiat-to-smart-contract solution (Transak One), and a fiat-to-NFT checkout solution.  As a regulated, non-custodial payments layer, Transak supports onboarding to 160+ crypto assets across 75+ blockchains. Trusted by over 350+ applications, including MetaMask and Coinbase Wallet, Transak is making web3 applications more accessible.","Blockchain and Cryptocurrency, Financial Services, Payments, Software",4.0,Early Stage Venture,2023-05-30,20000000.0,Series A,20560000.0,Private,,,,,,5,297,False
334,Mosaic.tech,2019-03-01,https://mosaic.tech,"San Diego, California, United States","Analytics, Artificial Intelligence, B2B, Big Data, FinTech, Machine Learning, SaaS, Software",101-250,"2,597","Mosaic.tech combines big data and machine learning that provides predictive reporting capabilities, leveling the playing field, and giving startups tools and insights for large enterprises. Its one-click integrations and real-time analytics offer clear insights and straightforward recommendations. Mosaic provides greater visibility into the most important dynamics of the business. Founded in 2019, Mosaic.tech is headquartered in San Diego, California.","Artificial Intelligence, Data and Analytics, Financial Services, Other, Science and Engineering, Software",7.0,Late Stage Venture,2023-06-07,26000000.0,Series C,71900000.0,Private,,,,,,5,298,False
340,Ebb Carbon,2021-01-01,https://www.ebbcarbon.com,"San Carlos, California, United States","Chemical, Electronics, Industrial",11-50,"2,605","Ebb Carbon works on a reverse electrochemical ocean deacidification process that captures CO2 from the atmosphere. It delivers a new method of carbon removal that uses electrochemistry to enhance the ocean’s natural ability to safely store CO2 while reducing ocean acidity. Its approach has the potential to be one of the safest, most scalable, and most affordable ways to remove excess CO2 from the atmosphere.","Consumer Electronics, Hardware, Manufacturing, Science and Engineering",3.0,Early Stage Venture,2023-10-18,,Convertible Note,23000000.0,Private,,,2,1.0,Physical Or Chemical Processes Or Apparatus In General,3,299,False
341,Odeko,2019-01-01,https://odeko.com,"New York, New York, United States","Business Development, Operating Systems, Software",251-500,"2,606","Odeko is building an enterprise-grade software platform for small businesses to realize their own unique visions of the world. Using the power of data, the company's platform analyses sales data and discovers trends to construct an automatic ordering model.","Platforms, Professional Services, Software",8.0,Late Stage Venture,2023-04-18,53000000.0,Series D,227022748.0,Private,,,0,7.0,,5,300,False
345,Thoropass,2019-06-01,https://thoropass.com,"New York, New York, United States","Compliance, Information Technology, SaaS, Software",101-250,"2,610","At Thoropass, we’re compliance experts so you don’t have to be. Pairing easy software that’s always getting smarter with expert guidance and continuous monitoring, we integrate into your process to prepare you to pass any audit, every year, with flying colors. Hundreds of growing companies use Thoropass’s compliance automation platform, expert services, auditors and partner ecosystem to get and stay compliant over the lifetime of their business. We offer SOC 2, ISO 27001, GDPR, HIPAA, PCI DSS, and other infosec and privacy frameworks. Learn more at www.thoropass.com.","Information Technology, Professional Services, Software",4.0,Late Stage Venture,2022-11-08,50000000.0,Series C,97950000.0,Private,,,,,,4,301,False
362,Ello,2019-01-01,https://www.helloello.com,"San Francisco, California, United States","Apps, Artificial Intelligence, E-Learning, Education",1-10,"2,636","Ello revolutionizes the way children learn to read by combining real books with artificial intelligence technology and, in so doing, gives each child their own expert teacher. Ello uses evidence-based reading instruction to help them when they get stuck and behavioral psychology to motivate them to keep going. The company believes books are the portal to lifelong learning, and when children make a personal connection with a real book their natural, joyful curiosity flourishes.","Apps, Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software",3.0,Early Stage Venture,2023-09-07,15000000.0,Series A,15450000.0,Private,,,1,1.0,Musical Instruments; Acoustics,5,302,False
365,Twin Health,2018-09-01,http://twinhealth.com,"Mountain View, California, United States","Artificial Intelligence, Health Care, Internet of Things, Machine Learning, Nutrition, Software",251-500,"2,649","Twin Health is a Precision Health platform combining Sensors, Machine Learning, and Medical Science to reverse chronic diseases and improve human metabolic health. They are backed by leading VC firms Iconiq Capital, Sequoia Capital, Perceptive Advisors, Corner Ventures, LTS Investments, Helena, and Sofina with $183M in Series A, Series B, and Series C funding. Twin has developed unique patent-pending technology (5 patents filed) to analyze complex biosignals from wearable sensors, predict metabolic outcomes using ML, and recommend highly-personalized treatments based on the metabolic profile of each patient.","Artificial Intelligence, Data and Analytics, Food and Beverage, Health Care, Internet Services, Science and Engineering, Software",3.0,Late Stage Venture,2021-10-07,155000000.0,Series C,198500000.0,Private,,,0,0.0,,5,303,False
366,Debut,2019-05-16,http://debutbiotech.com,"San Diego, California, United States","Beauty, Biotechnology, Consumer Goods, Cosmetics, Personal Health",101-250,"2,650","Debut is an unconventional innovation company that integrates breakthrough biotechnology and brand creation to build businesses that represent the next generation of sustainable wellness. With proprietary screening, testing, and cell-free biomanufacturing technology, we unlock novel activities to power global personal care and health brands. Their mission is to set a new standard for big business through a dynamic intrapreneurial model and to create purposeful brands that push humanity forward. The company creates sustainable novel ingredients, products, and brands that will accelerate the transformation of the industry.","Biotechnology, Consumer Goods, Health Care, Science and Engineering",4.0,Early Stage Venture,2023-06-02,40000000.0,Series B,66200000.0,Private,,,7,2.0,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,5,304,False
369,Deepwatch,2019-04-02,https://www.deepwatch.com,"Tampa, Florida, United States","Cloud Security, Cyber Security, Information Technology",251-500,"2,654","Deepwatch is securing the digital economy by tenaciously protecting enterprise networks - everywhere, every day. Deepwatch's team, many of the technically astute minds in cybersecurity, serves an impressive list of Global 2000 companies. Deepwatch’s cloud security platform backed by exceptional engineers, developers, and security experts is changing the modern SOC. Deepwatch is a CISO Choice Awards: MSSP Winner 2021, Great Place to Work® Certified 2021 and 2022, Forbes Top 50 Tech Company, Backed by premier investors with >$200 Million in growth capital from Goldman Sachs, Vista Equity Partners, and ABS Capital, Splunk Partner: #1 Volume MDR/MSSP and a Forrester: Top 10 MDR. Deepwatch's innovative cloud platform and borderless SOC extend its customers’ cybersecurity teams and proactively protect their brand, reputation, and digital assets. Its analytics platform analyzes billions of events each month and is trusted by hundreds of organizations to provide 24/7/365 managed security services. Deepwatch has developed an innovative IP in the industry and is expanding its platform by continuously investing in R&D.","Information Technology, Privacy and Security",3.0,Late Stage Venture,2023-02-15,180000000.0,Series C,256000000.0,Private,,,,,,5,305,False
