,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid
7376,MagnaPlay,2021-01-01,https://magnaplay.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Gaming, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Gaming, Translation Service",53479.0,"MagnaPlay is an anticipated, cutting-edge, subscription-based PC gaming. It was developed by a group of college students that enjoy playing games.",1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,3,2021,7187
7395,XOKind,2019-01-01,https://xokind.com/,"San Diego, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Software",53586.0,"XOKind is an AI startup, formed with the mission of simplifying human planning and decision making by distilling the world's information, and we are launching our first product in the travel and leisure space.",1-10,1.0,Seed,2019-12-12,3600000.0,Pre-Seed,3600000.0,4.0,1-10,Private,,,0.0,0.0,Computing; Calculating,0,5,2019,7205
7397,YouMakr,2018-04-01,https://youmakr.com,"Sacramento, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",53601.0,YouMakr is a mobile app that generates content in seconds. They use deep learning to understand user content and complete user sentences with perspectives. They help writers overcome writers block.,1-10,2.0,Seed,2023-08-21,500000.0,Pre-Seed,700000.0,2.0,1-10,Private,,,,,,0,5,2018,7207
7405,Sonical,2020-01-01,https://www.sonical.ai/,"San Mateo, California, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Consumer Electronics, Electronics, Software",53634.0,Sonical enables everyone to have a personalized hearing experience and to control how they hear the world using AI and advanced audio processing.,1-10,1.0,Seed,2023-10-18,3897429.0,Seed,3897429.0,1.0,1-10,Private,,,,,,0,4,2020,7215
7408,Ango AI,2021-01-01,https://ango.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Image Recognition, Machine Learning, Medical, Medical Device",53649.0,Ango AI is the quality-first data labeling platform for medical AI. Our mission is to accelerate knowledge transfer from experts to AI. We were established in 2021. Our offices are located in San Francisco and Ankara.,11-50,2.0,Seed,2021-08-04,720000.0,Pre-Seed,820000.0,2.0,11-50,Private,,,,,,0,3,2021,7218
7424,FreightFlows,2020-01-01,https://freightflows.com,"Boston, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Software",53754.0,"FreightFlows is a maritime company that offers predictive analytics for global trade. It specializes in the fields of analytics, big data, data science, and machine learning. It was founded in 2018 and headquartered in Boston, Massachusetts.",1-10,8.0,Seed,2022-03-22,1800000.0,Seed,1995000.0,1.0,1-10,Private,,,,,,0,4,2020,7234
7446,BigHat Biosciences,2019-01-01,http://www.bighatbio.com,"San Mateo, California, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Medical, Therapeutics",53920.0,BigHat is a developer of an AI-guided protein therapeutic platform used to integrate antibody characterization lab with machine learning technologies to engineer molecules with more complex functions and better biophysical properties. The company is applying these design capabilities to develop new generations of safer and more effective treatments for patients suffering from today’s most challenging diseases.,51-100,4.0,Early Stage Venture,2022-07-20,75000000.0,Series B,99302511.0,3.0,51-100,Private,,,,,,0,5,2019,7256
7489,OfOne,2022-01-01,https://www.of.one,"Oakland, California, United States","Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Science and Engineering, Software","Artificial Intelligence (AI), Restaurants, Software",54169.0,,1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,2,2022,7298
7498,Motion,2019-03-01,https://www.usemotion.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Productivity Tools, Real Time, Software",54260.0,"Motion is an AI time management platform that provides real-time interventions, reminders, and analytics. Motion mark sites as distracting to limit the time on them in the future. The company's tool keeps users from becoming distracted while browsing the web by providing real-time interventions, reminders, and analytics, as well as calendar, tab management, and focus tools.",1-10,2.0,Early Stage Venture,2022-09-19,13000000.0,Series A,13150000.0,3.0,1-10,Private,,,,,,0,5,2019,7306
7512,T2D2,2020-07-15,https://t2d2.ai,"New York, New York, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Real Estate, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Information Services, Machine Learning, Real Estate, SaaS, Software",54366.0,"T2D2 is a self-learning software platform that detects and classifies visible damage to structures and materials. T2D2 applies the latest advances in AI – specifically, deep learning for computer vision – to detect and localize damage by analyzing inspection images.",1-10,2.0,Seed,2020-07-15,850000.0,Pre-Seed,1100000.0,1.0,1-10,Private,,,,,,0,3,2020,7320
7522,Consilient,2020-01-01,https://consilient.com/,"Washington, District of Columbia, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Software","Compliance, Financial Services, FinTech, Machine Learning, Risk Management",54404.0,"Consilient is the first company to deploy Federated Machine Learning (FML) in the financial crimes and compliance (FCC) space, successfully proving ML works better than incumbent rules-based tools at anti-money laundering and countering the financing of terrorism, and FML enables ML models which exceed the performance of models built at one bank.  The company was founded in 2020 and is headquartered in Washington, DC.",11-50,1.0,Seed,2022-02-01,3000000.0,Seed,3000000.0,2.0,11-50,Private,,,,,,0,4,2020,7329
7556,GlobalPros.ai,2022-01-01,https://www.globalpros.ai,"Palm Beach Gardens, Florida, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Human Resources, Machine Learning, Marketing, Recruiting",54715.0,"GlobalPros.ai instantly and precisely matches the world's top, pre-vetted IT talent with remote positions in elite US and global employers. GlobalProsAI is a publicly searchable platform the reduces the time from job description creation to short for deeply per-vetted IT developers from weeks to minutes. The machine learning powered marketplace platform is available for employers to create their own pre-vetted developer database in house to save sourcing, matching and ranking time and substantial agency fees. Its headquarters is located in Palm Beach Gardens, Florida.",51-100,0.0,,,0.0,,0.0,2.0,51-100,Private,,,,,,5,2,2022,7362
7560,Butter,2020-01-01,https://www.butterpayments.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Payments, Software","Finance, FinTech, Machine Learning, Payments, Real Time",54743.0,"Butter provides a payments intelligence platform for resolving payment failures. Butter devised the Recovery engine as a solution to the problem. This is powered by machine learning and automates real-time decisions. Its patented technology optimizes each payment for individual success rather than in batches, making its product far more effective than other tools. The company was founded in 2020 by Vijay Menon.",11-50,4.0,Early Stage Venture,2023-01-11,22000000.0,Series A,28750000.0,1.0,11-50,Private,,,0.0,0.0,Computing; Calculating,0,4,2020,7366
7602,TachyHealth,2018-09-27,https://www.tachyhealth.com,"Delaware City, Delaware, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Financial Services, Hardware, Health Care, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Health Care, Health Insurance, Hospital, Information Technology, Machine Learning, Software",55025.0,"TachyHealth is a Dubai / Delaware based healthcare startup that is focusing on Artificial Intelligence and Data Science solutions for the providers (hospitals, clinics, revenue cycle management companies) and payers (medical insurance, healthcare plans, third party administrators) through transforming the financial/medical interactions. The suite of systems that TachyHealth is offering are: 1) AiGuide: intelligent guide for doctors with latest medical guidelines blended with financial insurance roles 2) AiCode: next generation medical coding platform with artificial intelligence for all coding sets 3) AiClaim: best AI powered medical claim & clinical edit rules system for providers for a transformed revenue cycle management 4) AiReview: next generation claim auditing and reviewing system for payers, insurers, and TPAs",11-50,2.0,Seed,2021-09-03,1100000.0,Seed,1240000.0,2.0,11-50,Private,,,,,,0,5,2018,7407
7630,FitnessAI,2019-01-01,https://fitnessai.com/,"New York, New York, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Sports","Apps, Artificial Intelligence (AI), Fitness, Software",55213.0,"FitnessAI is an application for iPhone that utilizes artificial intelligence to generate personalized weight lifting plans. The AI optimizes sets, reps, and weight for each exercise every time the user works out that is based on 5.9M workouts. The company was founded in 2019 and is headquartered in New York, United States.",1-10,1.0,Seed,2020-03-16,150000.0,Seed,150000.0,1.0,1-10,Private,,,,,,0,5,2019,7433
7637,Altan Insights,2020-01-01,https://www.altaninsights.com/,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Design, Software","Analytics, Market Research, Predictive Analytics",55244.0,"Altan Insights is the leading platform for intelligent alternative asset investing. Built on top of the most comprehensive dataset in the industry, our platform enables investors to track, analyze, and understand their entire alternative asset investment portfolio. Altan Insights’ powerful tools, in-depth analytics, and institutional-grade research empower modern investors to navigate the growing alternative asset landscape with confidence.",1-10,2.0,Seed,2022-05-24,4000000.0,Seed,4000000.0,1.0,1-10,Private,,,0.0,1.0,,0,4,2020,7440
7643,Conflixis,2022-01-01,https://www.conflixis.com,"Brooklyn, New York, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Risk Management, Software",55308.0,Conflixis develops conflict monitoring platform intended to manage conflicts inside organizations.,1-10,1.0,Seed,2024-01-25,275000.0,Seed,275000.0,,1-10,Private,,,0.0,0.0,,0,2,2022,7445
7648,Scanbase,2022-01-01,https://www.scanbase.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Medical",55342.0,Scanbase is a wide range of businesses and is easily adaptable to unique situations that improve the most cutting-edge computer vision platform in the world in order to enable the next generation of diagnostic medicine.,11-50,2.0,Seed,2023-05-01,0.0,Seed,500000.0,2.0,11-50,Private,,,,,,1,2,2022,7450
7659,New Equilibrium Biosciences,2019-01-01,https://newequilibriumbio.com/,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Medical",55396.0,New Equilibrium Biosciences provides a platform that reveals opportunities for structure-based design by learning biophysics with AI.,1-10,4.0,Seed,2021-03-31,10000000.0,Seed,10505872.0,2.0,1-10,Private,,,,,,0,5,2019,7461
7672,pyq,2022-01-01,https://www.pyqai.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Software","Cloud Infrastructure, Machine Learning, Software",55490.0,"pyq is a lightweight, low-code ML solution that can help quickly and cheaply bring your machine learning to production. Use one of pyq pre-deployed open source models, or deploy any model to the cloud and handle any subsequent MLOps tasks with a simple Terminal command.",1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,2,2022,7473
7681,Zample Corporation,2021-01-01,https://zamplepowered.com,"Phoenix, Arizona, United States","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","Artificial Intelligence (AI), Professional Services, Software",55575.0,Zample is an AI-Based Technology company with the idea to make the workplace for businesses and consumers easier. Our main goal is to provide the tools for customers to create a powerful presence online with AI-Technology (Quinella AI),11-50,2.0,Early Stage Venture,2023-04-01,1250000.0,Series A,2000000.0,,11-50,Private,,,,,,0,3,2021,7481
7695,MajorBoost,2020-01-01,https://www.majorboost.com/,"Seattle, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence (AI), Insurance",55683.0,"MajorBoost is to reimagine how doctor’s offices and insurance companies communicate with each other, using artificial intelligence to deal with time-consuming phone calls.",1-10,2.0,Seed,2022-04-29,0.0,Pre-Seed,350000.0,2.0,1-10,Private,,,,,,1,4,2020,7495
7714,Craftle,2022-08-01,https://craftle.app/,"Detroit, Michigan, United States","Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Design, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Furniture, Home and Garden, Home Decor, Interior Design, Personalization, Software",55890.0,,1-10,1.0,Seed,2023-10-15,120000.0,Pre-Seed,120000.0,3.0,1-10,Private,,,,,,0,1,2022,7513
7716,Guardinex,2020-01-01,https://www.guardinex.com/,"Bala Cynwyd, Pennsylvania, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Software","Financial Services, FinTech, Fraud Detection, Identity Management, Information Technology, Machine Learning",55896.0,"Guardinex was founded by Aravind Immaneni, previously Global Head of Operations and Fraud Prevention at Citi, and a financial services veteran with extensive experience in banking operations, technology, and fraud prevention. Guardinex creates products that protect businesses and their customers from Identity Fraud by continuously evolving capabilities to keep pace with current and emerging threats.",1-10,1.0,Early Stage Venture,2021-11-10,5000000.0,Series A,5000000.0,2.0,1-10,Private,,,0.0,1.0,,0,4,2020,7515
7728,GetFulcrum,2022-11-16,https://www.getfulcrum.io/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Customer Service, Information Technology, Software",55975.0,"Fulcrum is a product-led success platform that automatically spots outcome-focused customer segments, and enables adaptable product engagement in minutes to help companies proactively grow net revenue retention for low-touch customers.",1-10,1.0,Seed,2023-07-15,535000.0,Pre-Seed,535000.0,2.0,1-10,Private,,,,,,0,1,2022,7526
7729,iHairium,2021-11-10,https://ihairium.com/,"Dover, Delaware, United States","Artificial Intelligence (AI), Consumer Goods, Data and Analytics, Health Care, Mobile, Science and Engineering, Software","Artificial Intelligence (AI), Beauty, Cosmetics, Health Care, Health Diagnostics, Home Health Care, Medical, mHealth, Personal Health, Software",55986.0,"AI-powered healthcare ecosystem for hair & skin diagnostics and treatment. For people, for specialists, for business.",11-50,1.0,Seed,2023-08-06,400000.0,Seed,400000.0,3.0,11-50,Private,,,,,,0,2,2021,7527
7747,The Unfettered,2020-01-01,https://www.theunfettered.io,"Turkey, North Carolina, United States","Apps, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Gaming, Other, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Blockchain, Gaming, PC Games, Video Games",56074.0,"The Unfettered is a forthcoming action role-playing video game built on the Unreal Engine 4. The game of the souls-like genre is about a strange warrior woman. This figure has been sought after by the gods for years as the ""chosen one,"" and is entrusted with battling underworld monsters that have transformed the planet into a land of the dead, pandemonium, and devastation.",11-50,1.0,Seed,2022-05-10,2500000.0,Seed,2500000.0,,11-50,Private,,,,,,0,4,2020,7545
7762,Skyminyr,2020-05-01,https://www.skyminyr.com,"San Diego, California, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Human Resources, Machine Learning",56134.0,Skyminyr delivers the power of human capital intelligence.,11-50,2.0,Seed,2022-03-22,2500000.0,Seed,2500000.0,1.0,11-50,Private,,,,,,0,3,2020,7560
7763,"Enhencer | AI Ads for Facebook, Google and Tiktok",2020-09-01,https://enhencer.com,"San Francisco, California, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Advertising Platforms, Artificial Intelligence (AI), Machine Learning, SaaS",56140.0,"We use our AI algorithms to find the perfect target audience for Facebook, Google and Tiktok Ads.  Enhencer simplifies e-commerce advertising with AI-driven target audience. Our algorithms analyze the website and mobile app visitors and segment them in real time to provide the most relevant target audience for your campaigns, resulting in increased ROAS, sales and saving you time and money. For the same budget, Enhencer AI audiences can generate at least double the Ad revenue when compared to other industry-standard audiences.",11-50,3.0,Seed,2022-08-11,700000.0,Seed,890000.0,3.0,11-50,Private,,,,,,0,3,2020,7561
7765,LatchBio,2021-01-01,https://www.latch.bio,"San Francisco, California, United States","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Bioinformatics, Biopharma, Biotechnology, Machine Learning",56156.0,"LatchBio develops a data infrastructure intended to build and disseminate the open-source infrastructure of the biocomputing revolution. Founded in 2021 by Alfredo Andere, Kyle Giffin, and Kenny Workman, the company creates open-source machine learning and cloud infrastructure for the next generation of therapeutic discovery, thereby enabling biotech companies to find therapies faster and save on engineering.",11-50,4.0,Early Stage Venture,2022-06-02,28000000.0,Series A,33200000.0,3.0,11-50,Private,,,,,,0,3,2021,7563
7767,Untitled,2018-10-01,https://untitledfirm.com,"Louisville, Kentucky, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Analytics, Big Data, Cloud Data Services, Consulting, Machine Learning, Software, Software Engineering",56164.0,"Powering each layer of data infrastructure needed to consolidate sources, transform data, and conduct analytics at scale. With their cloud data management solution, Distilled, organizations can quickly integrate over 180+ common data sources and tap Untitled engineers for anything else. Uncover transformed datasets tailored for analysis and visualization. Plug and play into your preferred BI or analytics tool.",11-50,1.0,Seed,2021-07-07,600000.0,Seed,600000.0,3.0,11-50,Private,,,,,,0,5,2018,7565
7780,Double,2022-01-01,https://www.usedouble.com,"Redwood City, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Developer Tools, Information Technology, Virtual Assistant",56281.0,,1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,2,2022,7578
7789,Ambi Robotics,2018-05-01,http://www.ambirobotics.com,"Berkeley, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Robotics",56318.0,"Ambi Robotics is an artificial intelligence (AI) and robotics company developing advanced solutions that scale e-commerce operations to meet demand while empowering humans to work smarter. The company was founded in 2018 and is based in Berkeley, California, United States.",51-100,8.0,Early Stage Venture,2022-10-17,32000000.0,Series A,65137535.0,5.0,51-100,Private,,,2.0,5.0,Hand Tools; Portable Power-Driven Tools; Manipulators,0,5,2018,7586
7809,Pluralytics,2020-03-01,https://www.pluralytics.com,"Minneapolis, Minnesota, United States","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Digital Marketing, Enterprise Software, Machine Learning, Marketing Automation, Natural Language Processing",56460.0,A cloud-based enterprise software company that uses AI-powered language intelligence and generation combined with behavioral science and consumer insights to empower global brands to communicate effectively at scale.,11-50,6.0,Seed,2022-12-01,1250000.0,Seed,4600000.0,3.0,11-50,Private,,,,,,0,4,2020,7606
7811,Disco,2020-01-01,https://www.disconetwork.com/,"San Francisco, California, United States","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Brand Marketing, CRM, E-Commerce",56472.0,"Disco develops an AI-driven partnership platform that makes recommendations to consumers across brands. It operates as a network of brands that work together to learn more about their customers, increase merchandising distribution, and lower customer acquisition costs.",11-50,4.0,Early Stage Venture,2022-03-04,20000000.0,Series A,25800000.0,1.0,11-50,Private,,,,,,0,4,2020,7608
7836,Contiq Inc.,2019-03-01,http://www.contiq.com,"San Jose, California, United States","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Computer, Software",56627.0,"Contiq is a VC backed startup, founded by veterans VMware. We are on a quest to simplify enterprise content discovery and creation using artificial intelligence.  Contiq is creating a truly differentiated business which pushes the boundaries of what is possible with great software, deep learning/AI algorithms and great UX. We are looking for like-minded team members that can dream, inspire, innovate and execute.",11-50,4.0,Seed,2020-02-18,21000.0,Seed,3021000.0,2.0,11-50,Private,,,1.0,0.0,Computing; Calculating,0,5,2019,7631
7839,Haven,2022-01-01,https://www.yourhaven.app,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Telecommunications",56658.0,"Haven operates in the artificial intelligence and telecommunications industries. The company offers an AI-powered front desk service for property managers, handling resident communications 24/7 via phone, SMS, and email. This service provides instant responses to residents at all hours, streamlining the communication process for property managers. In addition to this, Haven also provides support for individuals living with addiction, offering a safe destination for help and recovery.",1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,3.0,1-10,Private,,,,,,0,2,2022,7634
7851,Fintesa,2022-06-14,https://fintesa.co,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Credit Cards, FinTech, Fraud Detection, Payments, SaaS, Software, Transaction Processing",56711.0,"Finesea is a SaaS platform that allows any business to compliantly collect payments in over 200 countries for their products, and services - in just 10 minutes.",11-50,1.0,Seed,2022-12-22,250000.0,Seed,250000.0,1.0,11-50,Private,,,,,,0,1,2022,7645
7852,Smiletronix,2018-07-06,https://www.smiletronix.com,"Wilmington, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Dental, Health Care, Health Diagnostics, Home Health Care, Internet, Medical Device, Software",56716.0,"Smiletronix is a home dental check-up, tracking and teledentistry tool. We utilize a patented intra-oral imaging device, ai and app so that users can check their teeth regularly from the comfort of their homes and connect to clinicians easily. Our mission is to change dental care from reactive to preventive, by doing so reducing pain, cost and making care more convenient and accessible to all.",11-50,4.0,Seed,2020-11-28,1000000.0,Seed,1301025.0,4.0,11-50,Private,,,1.0,1.0,Medical Or Veterinary Science; Hygiene,0,5,2018,7646
7859,KwikTrust,2021-04-04,https://www.kwiktrust.com,"Sunnyvale, California, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, E-Signature, FinTech, Legal Tech",56754.0,"At KwikTrust we've built two unusual products. The first is KwikSign - a digital signature app, which doesn't sound particularly innovative but we've approached the problem from a different angle. Our vision of the future is that people won't want to just sign contracts. There are new problems to be solved. They will need to sign any asset to either prove that they own it, approve it, agree with it, or want to protect it. This could be any asset type - contracts, video, audio, designs, drawings, deeds, code and more. In an age of artificial intelligence and fake information it's more important than ever to validate the authenticity of any asset. We achieve this by enabling any file type to be checked, validated, signed and recorded on a blockchain thereby creating a tamperproof record. Everything that is created can be linked to the validated identity of the validators to prove it is true and original. What are the use cases for this? There are many - creating deeds of ownership, issuing stock or share certificates, carrying out due diligence, recording intellectual property, confirming that a video, photo or audio file is the true and original version, in fact creating a tamperproof record of any event or asset. Our second product, launching next month, takes this one step further. Once an asset is created it needs to be transferable, tradable and traceable. To solve this problem we have built a SuperNFT which is an asset linked to the validated identities of the creators or legal owners. Because the SuperNFT 'knows' who its owners are it is also a mechanism for collecting and disbursing monies to the rightful beneficiaries, and it does this Super-quickly. Our first foray is in the world of music to enable artists to create new experiences for their audiences and to enable artists to be paid more quickly and more accurately.",11-50,1.0,IPO,2021-08-02,1800000.0,Seed,1800000.0,7.0,11-50,Public,2022-03-14,,,,,0,2,2021,7653
7864,Encultured AI,2021-01-01,https://www.encultured.ai/,"Oakland, California, United States","Artificial Intelligence (AI), Data and Analytics, Gaming, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Gaming, Information Technology, Video Games",56785.0,Encultured AI is a video game company focusing on the safe introduction of AI technologies into the game world.,1-10,2.0,Early Stage Venture,2023-03-07,4099993.0,Series A,6589993.0,2.0,1-10,Private,,,,,,0,3,2021,7657
7870,Psychic,2022-01-01,https://www.psychic.dev,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software",56812.0,,1-10,1.0,Seed,2023-04-05,500000.0,Seed,500000.0,2.0,1-10,Private,,,,,,0,2,2022,7663
7897,Fixie.ai,2022-01-01,https://fixie.ai,"Seattle, Washington, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, Software",57017.0,"Fixie.ai is a software platform that builds software using artificial intelligence to revolutionize the way software is built. The company's goal is to provide a new interface for Large Language Models (LLMs) with real-world systems by integrating with arbitrary tools, data sources, and APIs.",1-10,2.0,Seed,2023-02-14,12000000.0,Seed,16999998.0,4.0,1-10,Private,,,0.0,0.0,,0,2,2022,7688
7902,VivaWell,2020-01-01,https://vivawell.com.mx/,"La Loma, New Mexico, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence (AI), B2B, Health Care, Human Resources, Information Technology, Software, Wellness",57070.0,VivaWell is a healthtech company founded in 2020 with the mission of providing affordable quality healthcare and wellness services in emerging markets. VivaWell operates as an aggregator of healthcare and wellness services and utilizes artificial intelligence and machine learning to create a bespoke solution that addresses the needs of each user. VivaWell’s platform also provides quality information for employers to improve productivity and retention metrics.  The Company’s healthcare and wellness solution complements existing government and private coverage with a focus on prevention. VivaWell’s ultimate objective is to democratize the access to quality health programs and promote health equity in emerging markets.,11-50,1.0,Seed,2023-01-12,1600000.0,Seed,1600000.0,4.0,11-50,Private,,,,,,0,4,2020,7693
7925,KNOW,2020-12-09,https://www.knowcorp.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing",57178.0,"KNOW is a software company developing proprietary applications using Artificial Intelligence, Machine Learning, Neural Networks and Deep Learning technologies to allow for speakers to have more engaging and purposeful interactions with their audience. KNOW’s mission is to increase the number of meaningful relationships between a speaker and their audience by creating a rich immersive environment conducive to education and exploration. KNOW’s system transforms the traditional Speaker/Audience experience into a one-on-one relationship thereby exponentially increasing the power of the speaker’s message and influence.",1-10,1.0,Seed,2022-01-30,3000000.0,Seed,3000000.0,,1-10,Private,,,,,,0,3,2020,7714
7959,Aniline,2020-01-01,https://www.aniline.ai,"Chappaqua, New York, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Financial Services, Machine Learning",57375.0,"Aniline is a data analytics platform, enabling distribution of Group Insurance Products. Using advanced analytics and AI the company provides a detailed breakdown of employee populations by demographic, geographic, tenure, compensation and other relevant categories. All without soliciting any employer information. It also provide detailed employee sentiment on benefits and compensation policy and delivery.",1-10,2.0,Early Stage Venture,2023-07-05,0.0,Series A,3500000.0,2.0,1-10,Private,,,,,,1,4,2020,7745
7965,Edifii,2022-12-12,https://edifii.me/,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Education, Other, Professional Services, Science and Engineering, Social Impact, Software","Artificial Intelligence (AI), Career Planning, EdTech, Education, Social Impact",57401.0,,1-10,4.0,Seed,2023-09-08,100000.0,Pre-Seed,345000.0,,1-10,Private,,,,,,0,1,2022,7751
7987,CyberFilm AI,2021-11-23,http://www.cyberfilm.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video","Artificial Intelligence (AI), Film, Film Production, Generative AI, Machine Learning, TV Production, Video",57525.0,Try our latest app Saga for 3 days at www.writeonsaga.com,1-10,1.0,Seed,2023-05-23,125000.0,Pre-Seed,125000.0,2.0,1-10,Private,,,0.0,0.0,,0,2,2021,7770
