,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
5440,Service 1st Financial,2019-01-01,https://www.service1stfinancial.com/,"Bethesda, Maryland, United States","Financial Services, Real Estate","Financial Services, Heating, Ventilation, and Air Conditioning (HVAC)",41850.0,"Service 1st Financial is a residential home service contractor-focused financial technology, innovation, and training firm. With the cost of replacing heating, cooling, and plumbing systems constantly rising, Service 1st's Premier Program provides homeowners with a worry-free service to replace and upgrade their home comfort systems. The Premier Program is offered through independent contractors on a full portfolio of home comfort products, including HVAC systems, IAQ products, tank, and tankless water heaters, water purification systems, and standby generators.",11-50,3.0,Early Stage Venture,2022-11-17,15000000.0,Debt Financing,20850000.0,1.0,11-50,Private,,,0.0,1.0,,0,5,2019,5324,True
12863,Queenly,2019-10-01,https://queenly.com,"San Francisco, California, United States","Clothing and Apparel, Commerce and Shopping, Design, Internet Services","E-Commerce, Fashion, Marketplace, Search Engine",92540.0,"Queenly is the dedicated marketplace and search engine for the formalwear industry. Queenly was one of the top companies that came out from the Y Combinator Winter 2021 batch, according to TechCrunch, and recently raised a Seed round led by Andreessen Horowitz (a16z.com). They have now captured the largest formal dress inventory in the US by surpassing that of Macy’s, Rent the Runway & Nordstrom, since launching less than 2 years ago. Queenly is tackling the highly underserved prom, pageant, quinceañera, and wedding industry (and more!). They cater to this massive community of dress enthusiasts for this high-priced & low-usage inventory, similar to how GOAT and StockX have built a platform for the sneaker and streetwear community.  The company was founded in 2019 and is based in San Francisco, California.",11-50,3.0,Seed,2021-07-23,6300000.0,Seed,9400000.0,2.0,11-50,Private,,,0.0,2.0,,0,4,2019,12393,True
6686,Veg House,2021-01-01,https://veghouse.co/,"Miami Beach, Florida, United States","Commerce and Shopping, Food and Beverage","E-Commerce, Food and Beverage, Grocery, Organic Food",49418.0,,1-10,2.0,Seed,2023-10-18,900000.0,Seed,1650000.0,,1-10,Private,,,,,,0,3,2021,6529,True
10492,Unify Twin Inc,2021-01-01,https://unifytwin.com,"Thousand Oaks, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Sustainability","Analytics, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Software, Sustainability",74724.0,"Industry first 5.0 Company focusing on Unifying Human and Machine Intelligence to create predictable business outcomes. UnifyTwin provides iLens Machine and iLens Assistant  iLens Machines operate seamlessly on the real-time machine edge-based data along with the data from the information systems of the enterprise and the plant operations, and feed AI-driven contextual views to connected workers. While iLens Assistant Serves as a ‘digital friend’ for frontline connected workers to collaborate more efficiently with each other, and use the AI-assisted insights from iLens Machine to accelerate productivity and safety. UnifyTwin is the  first Industry 5.0 software company that eliminates digital blind spots and data silos to maximize industrial productivity and quality. The product was initially developed by Knowledge Lens and in May 2021 was hived of as a separate entity with only Industry 5.0 focus.",51-100,1.0,Seed,2021-05-01,1000000.0,Pre-Seed,1000000.0,1.0,51-100,Private,,,,,,0,3,2021,10164,True
1222,H2Ok Innovations,2020-01-01,http://www.h2okinnovations.com,"Cambridge, Massachusetts, United States","Agriculture and Farming, Internet Services, Manufacturing, Science and Engineering","Agriculture, Aquaculture, Industrial Automation, Internet of Things, Manufacturing",19091.0,"H2Ok Innovations provides data-driven optimization of industrial liquid systems for manufacturing processes. They offer a range of operating systems as well as software and hardware that are used for measuring fats, oils, and grease.",11-50,7.0,,2023-07-22,6800000.0,Venture - Series Unknown,6955000.0,2.0,11-50,Private,,,,,,1,4,2020,1199,True
12977,Verse Gaming,2020-01-01,https://www.versegaming.com/,"Brooklyn, New York, United States",Gaming,Gaming,93433.0,Verse Gaming is the social marketplace built for peer-2-peer gaming.,1-10,1.0,Seed,2022-09-19,585000.0,Pre-Seed,585000.0,,1-10,Private,,,,,,0,4,2020,12503,True
10941,Hoodpay,2023-01-01,https://hoodpay.io,"Chicago, Illinois, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Developer APIs, Financial Services, FinTech, Payments",78151.0,"Thousands of internet entrepreneurs use Hoodpay's checkout software to accept payments online—from crypto to cards. We dream of building a payments platform that propels entrepreneurship to new heights. With digital payments (Debit/Credit Cards, Google/Apple Pay), digital wallets (CashApp, PayPal, Venmo), and digital currencies (Bitcoin, Ethereum, etc), we believe we’re headed in the right direction. We act as the authorized reseller and record merchant for entrepreneurs selling digital products. As their partner, we take care of the legwork surrounding the collection and remittance of border-specific sales tax, payment compliance, mitigating financial risk, blocking fraudulent transactions, and consolidating reports. We’re a safe and fast alternative to accepting payments online.",1-10,1.0,M&A,2023-01-10,150000.0,Pre-Seed,150000.0,,1-10,Private,,,,,,0,1,2023,10591,True
10223,HOAworks,2022-06-01,https://hoa.works,"Knoxville, Tennessee, United States","Financial Services, Information Technology, Other, Real Estate, Software","Association, Home Services, Information Technology, Property Management, Real Estate Investment, Residential, Software",72720.0,"Homeowner association boards are in charge of keeping things running smoothly, but this can be difficult with traditional methods. That’s where HOAworks comes in! Our integrated solution streamlines service requests, accounting and owner communications so that HOAs don’t have to worry about complaints, confusion or backlogs. We’ll help make managing your HOA easier than ever before – regardless if its 2 or 2,000 doors.",11-50,1.0,Seed,2022-08-27,500000.0,Seed,500000.0,1.0,11-50,Private,,,0.0,0.0,,0,1,2022,9904,True
12623,Cakework,2022-01-01,https://www.cakework.com,"Seattle, Washington, United States","Other, Software","B2B, Developer Tools, Infrastructure, Software, Web Development",90619.0,Cakework enables you to create serverless long-running tasks without the need for infrastructure management.,1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,3.0,1-10,Private,,,,,,0,2,2022,12165,True
10690,DitoBanx,2020-08-25,https://ditobanx.com,"Wilmington, Delaware, United States","Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Mobile, Payments, Software","Bitcoin, Financial Services, FinTech, Mobile Payments, Payments, Point of Sale, Transaction Processing",76266.0,"Our main objective is to enable Bitcoin Financial Services for medium size business and big size corporations. Our services include Bitcoin Merchant tools, Bitcoin Savings Accounts,  Bitcoin loans, Crypto Debit card and more.",11-50,3.0,Seed,2022-01-02,500000.0,Pre-Seed,562000.0,1.0,11-50,Private,,,,,,0,3,2020,10351,True
9780,Tsū,2019-04-13,https://www.tsusocial.com,"Norwalk, Connecticut, United States","Internet Services, Media and Entertainment, Software","Content, Social Media, Software",69663.0,"Tsū is a developer of a social media platform that shares ad revenue as well as provides analytics and tools that inspire content creation, enables purchase opportunities, and provides revenue tracking services. The Norwalk, Connecticut-headquartered company was founded in 2019 by David Kerzner, Scot Weisberg, and John Acunto.",51-100,1.0,,2021-01-05,10000000.0,Venture - Series Unknown,10000000.0,3.0,51-100,Private,,,,,,1,4,2019,9483,True
15117,Nodat,2020-06-01,https://nodatplace.com,"Nashville, Tennessee, United States","Advertising, Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software","Advertising, Artificial Intelligence (AI), B2B, Digital Marketing, Marketing Automation, Software",110781.0,Nodat is an AI-powered consent-based marketing platform that helps marketers reach the right customers without tracking them from site to site or invading their privacy.,1-10,2.0,Seed,2022-06-08,225000.0,Grant,225000.0,1.0,1-10,Private,,,,,,0,3,2020,14486,True
6004,Pierre,2023-01-01,https://heypierre.app,"San Francisco, California, United States","Information Technology, Software","Developer Tools, Information Technology, Software",45206.0,,1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,1,2023,5866,True
5784,Grip,2022-01-14,https://gripshipping.com/,"Miami, Florida, United States","Commerce and Shopping, Internet Services, Software, Transportation","E-Commerce Platforms, Logistics, SaaS, Software",43895.0,"Headquartered in the heart of Miami's tech community, Grip is pioneering Direct-to-Consumer Perishable Supply Chain. Grip's smart logistics engine increases customer lifetime value and retention with higher quality deliveries, and predictable shipping. Our seamless API integration enables automated decision-making based on real-time logistics network conditions. We are a rapidly growing team that is backed by some of the best industry investors and advisors.",11-50,1.0,Seed,2022-11-03,2000000.0,Pre-Seed,2000000.0,1.0,11-50,Private,,,,,,0,2,2022,5660,True
104,FutureFit AI,2019-09-01,https://www.futurefit.ai/,"New York, New York, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Human Resources, Internet, Machine Learning",13452.0,"FutureFit AI partners with Fortune 500 companies, governments, and workforce development organizations to provide workers with an AI-powered tool that acts as a ""GPS for your Career"". The platform uses advanced labor market data and equity-focused machine learning algorithms to identify an individual’s ‘starting point’ in the labor market, recommend best fit career path ‘destinations’, and build a personalized roadmap of learning, resources, and work opportunities to successfully guide them from point A to point B.",11-50,2.0,Seed,2022-03-29,4560543.0,Seed,4560544.0,3.0,11-50,Private,,,,,,0,4,2019,102,True
2259,Guidesly,2020-01-06,https://www.guidesly.com,"Boston, Massachusetts, United States","Commerce and Shopping, Software","Marketplace, Software",24662.0,"Guidesly is building a new platform for outdoor enthusiasts!  The first app-based marketplace connecting anglers with trusted guides.  Making the searching and booking process easy for anglers and offering guides an app to manage their business.  Trusted, certified and instantaneous, Guidelsy is building the next generation of enthusiast tools.",11-50,3.0,Seed,2023-10-12,1000000.0,Seed,5600000.0,1.0,11-50,Private,,,,,,0,4,2020,2212,True
11002,Volition,2021-07-01,http://www.volition.eco,"Lehi, Utah, United States","Energy, Sustainability","Energy Management, Renewable Energy",78526.0,Volition is an Energy Management Firm delivering Energy as a Service to commercial and residential properties throughout the world.,1-10,1.0,Seed,2022-03-01,2000000.0,Seed,2000000.0,2.0,1-10,Private,,,,,,0,2,2021,10645,True
14826,FastDemocracy,2018-08-23,https://fastdemocracy.com/,"St Louis, Missouri, United States","Government and Military, Information Technology, Software","CivicTech, GovTech, SaaS, Software",108342.0,"FastDemocracy is revolutionizing bill tracking with a streamlined, user-friendly platform. Our unique suite of tools empowers individuals, organizations, and businesses to take control of their government relations strategy and helps them be effective advocates for policy change.",1-10,2.0,Seed,2020-02-01,100000.0,Seed,150000.0,3.0,1-10,Private,,,0.0,1.0,,0,5,2018,14215,True
18556,Songvest,2020-01-01,http://www.songvest.com,"Raleigh, North Carolina, United States","Financial Services, Media and Entertainment, Music and Audio","Finance, Music",141648.0,Songvest is an online music store that enables investors and fans to buy fractional ownership in music royalties as well as purchase their preferred songs and artists. They provide for people.,1-10,1.0,Seed,2021-05-01,500000.0,Seed,500000.0,2.0,1-10,Private,,,,,,0,4,2020,17604,True
905,BlueOval SK,2022-01-01,https://blueovalsk.com,"Stanton, Tennessee, United States","Energy, Manufacturing, Transportation","Automotive, Battery, Electric Vehicle, Manufacturing",17546.0,BlueOval SK is an advanced EV battery manufacturer by creating an automotive manufacturing ecosystem. It is a joint venture between Ford Motor Company (Ford) and SK On. BlueOval SK is a JV formed by Ford Motor and SK On.,5001-10000,1.0,,2023-06-22,9200000000.0,Debt Financing,9200000000.0,,5001-10000,Private,,,,,,1,2,2022,886,True
13024,FlexWash Technologies,2021-01-01,https://www.flexwashtech.com,"Temecula, California, United States","Commerce and Shopping, Information Technology, Sales and Marketing, Software","CRM, Marketing, Point of Sale",93744.0,,1-10,1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,2.0,1-10,Private,,,,,,0,3,2021,12547,True
1510,Revere VC,2020-04-01,https://www.reverevc.com/,"San Francisco, California, United States","Data and Analytics, Design, Financial Services, Lending and Investments","Big Data, Business Intelligence, Financial Services, FinTech, Market Research, Venture Capital",20539.0,"Revere empowers a range of investment advisors, wealth managers, and allocators with the tools to expand their venture capital programs. Revere is best known for creating the industry’s first standardized framework for evaluating fund managers.",1-10,2.0,Seed,2022-05-31,4170000.0,Seed,5520000.0,2.0,1-10,Private,,,,,,0,3,2020,1480,True
11893,HDO Health,2021-06-28,http://hdohealth.com/,"Columbus, Ohio, United States","Government and Military, Health Care, Information Technology, Privacy and Security","Government, Health Care, Law Enforcement, Medical Device, Military",85191.0,HDO Health is a medical device portfolio company dedicated to bringing life-saving technologies to the world. Our first medical device being developed is an innovative tourniquet technology being commercialized in partnership with the Ohio State Innovation Foundation (OSIF) at the Ohio State University that helps prevent people from bleeding to death from a traumatic junctional wound.,1-10,4.0,,2023-11-09,1000.0,Grant,451000.0,5.0,1-10,Private,,,,,,1,2,2021,11483,True
17762,Couplet Care,2021-01-01,http://www.coupletcare.com,"Durham, North Carolina, United States",Health Care,"Health Care, Hospital, Medical",133975.0,"Couplet Care is a medical newborn bassinet made to lower patient risks, increase clinical efficiency, and strengthen parent-infant relationships in birthing facilities. The business fosters relationships between parents and babies and supports the idea of caring for both groups of people simultaneously in the postnatal unit, ensuring patient safety and clinical effectiveness while fostering good mother and baby health outcomes.",1-10,2.0,Seed,2023-07-13,698974.0,Seed,748974.0,,1-10,Private,,,,,,0,3,2021,16898,True
9712,Enhance Health,2021-01-01,https://enhancehealth.com/,"Coral Springs, Florida, United States",Financial Services,Insurance,69110.0,Enhance Health is a senior-focused digital insurance agency. founded with a simple premise: empower seniors to get the right care for their specific needs through extensive consumer education and an unwavering dedication to customer service.,101-250,1.0,Private Equity,2021-11-05,150000000.0,Private Equity,150000000.0,,101-250,Private,,,,,,0,3,2021,9420,True
14305,Asoba,2021-01-01,https://www.asoba.co,"San Rafael, California, United States","Energy, Natural Resources, Sustainability","Energy, Solar",104178.0,Asoba provide control of power generation and management back to the companies and individuals that are constructing Africa's future.,1-10,1.0,Seed,2023-04-19,100000.0,Pre-Seed,100000.0,,1-10,Private,,,,,,0,3,2021,13735,True
9081,Daedalus Systems,2018-05-22,https://www.labrynth.io/,"Miami, Florida, United States","Health Care, Software","Consumer Software, Enterprise Software, Health Care, Software",64943.0,"Daedalus Systems is connecting patients of all kinds with innovative treatments through a patient-centered healthcare network that reduces costs and creates a wealth of health information, empowering users to take control of their health and data, and driving medical science on all fronts. Labrynth is our flagship digital health platform that supports the unique interests of patients, clinical trial sponsors, and clinical study centers through connectivity, visibility, and ease-of-communication. By creating a community of patients, innovators, and physicians, Labrynth optimizes medical research while increasing patient access to health care. Tactically, Labrynth is able to create value through a network of patients, companies, clinical sites, and institutions that can be leveraged to collect, store, share, and analyze health data for the purposes of streamlining medical and public health research and increasing access to quality healthcare.",1-10,2.0,,2021-10-21,11230494.0,Venture - Series Unknown,11293494.0,1.0,1-10,Private,,,,,,1,5,2018,8821,True
11205,GreyMatter,2021-01-01,https://www.greymattercapital.com,"New York, New York, United States","Health Care, Software","Health Care, Mental Health, Software",80113.0,"GreyMatter is a venture capital firm created to support bold founders building the future of mental health and emotional wellness. We believe innovative approaches to mental wellbeing have the power to not only reshape healthcare, but to touch every part of our lives, improving the way we live, work, learn, relate to one another.",1-10,0.0,,,0.0,,0.0,2.0,1-10,Private,,,,,,6,3,2021,10829,True
13811,Salesbeat,2019-01-01,http://www.salesbeat.co,"New York, New York, United States","Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Hardware, Information Technology, Internet Services, Real Estate, Sales and Marketing, Software","Fast-Moving Consumer Goods, Information Technology, Internet, Machine Learning, Marketing, Retail Technology",99930.0,"Salesbeat has an AI driven platform that uses micro and macro factors to model consumer buying behaviour and makes predictive recommendations of optimal stock levels to FMCG sales people who sell into supermarkets, distributors & wholesalers, eliminating lost sales due to out of stock.",1-10,3.0,Seed,2020-11-01,317000.0,Pre-Seed,562000.0,2.0,1-10,Private,,,0.0,1.0,,0,5,2019,13278,True
5645,Pogr,2021-07-21,https://pogr.gg/,"Los Angeles, California, United States","Data and Analytics, Gaming, Media and Entertainment, Software, Sports","Analytics, Big Data, Developer Tools, eSports, Gaming, Metaverse",43025.0,"Pogr is a unique customizable profile system with centralized video game statistics. They are building the statistical foundation for the future of gaming; ie, 'the metaverse'.",1-10,2.0,Seed,2022-08-01,2225000.0,Seed,2325000.0,3.0,1-10,Private,,,,,,0,2,2021,5526,True
575,Aloft,2021-01-01,https://aloftappraisal.com,"Seattle, Washington, United States","Information Technology, Real Estate","Information Services, Information Technology, Real Estate",15836.0,Aloft is a real estate valuation technology company.,51-100,2.0,Early Stage Venture,2021-11-18,20000000.0,Series A,25000000.0,2.0,51-100,Private,,,,,,0,3,2021,563,True
32793,Marcy Venture Partners,2019-03-01,https://www.marcyvp.com/,"San Francisco, California, United States","Clothing and Apparel, Design, Food and Beverage, Other","Consumer, Fashion, Food and Beverage",320744.0,"Marcy Venture Partners (MVP) was Co-Founded by Shawn Carter (JAY-Z), Jay Brown and Larry Marcus. MVP has a passion for building innovative businesses and mass-market brands. The firm invests in Consumer & Culture with an emphasis on positive impact including sustainability, inclusivity, accessibility, empowerment and health & wellness.  Our companies are led by exceptional management teams with clear vision, purpose and executional excellence. We lead or co-invest in companies that have meaningful brand values, high customer joy driven by an outstanding product, demonstrated growth and clear catalysts for the next level of scale.",1-10,0.0,,,0.0,,0.0,3.0,1-10,Private,,,,,,6,5,2019,29918,True
10161,Haste Arcade,2021-01-01,https://www.hastearcade.com,"Los Angeles, California, United States","Gaming, Internet Services, Software","Developer Tools, Gaming, Online Portals",72365.0,Haste Arcade is an operator of an instant leaderboard payout gaming arcade platform.,1-10,2.0,Seed,2022-06-07,1500000.0,Seed,2000000.0,,1-10,Private,,,,,,0,3,2021,9845,True
2094,Yours,2018-10-01,https://lovefromyours.com,"Los Angeles, California, United States","Artificial Intelligence (AI), Community and Lifestyle, Consumer Goods, Data and Analytics, Health Care, Software","Beauty, Consumer Goods, Cosmetics, Lifestyle, Machine Learning, Wellness",23776.0,"Yours is on a mission to make self-care simple and sustainable. We use computer vision and machine learning to create personalized products, content and customer experiences all along the customer journey. We started with the skincare category– a $155B industry that runs on trial-and-error leading to wasteful consumption (120bn units of packaging are produced every year!). We create a better customer-product fit using our personalization platform.",11-50,2.0,Seed,2019-10-09,3500000.0,Seed,3500000.0,2.0,11-50,Private,,,0.0,3.0,,0,5,2018,2054,True
8522,Intelligent Observation,2019-01-01,https://intelobserve.com,"Miami, Florida, United States",Health Care,"Health Care, Hospital, Medical Device",60872.0,"Intelligent Observation provides an automated hand hygiene tracking system that improves compliance and reduces the risk of infection. It was founded in 2019 and is based in Miami, Florida, United States.",11-50,7.0,Seed,2023-04-07,0.0,Seed,2499985.0,1.0,11-50,Private,,,1.0,0.0,Signalling,1,5,2019,8286,True
12759,MySimplePetLab,2019-01-01,https://mysimplepetlab.com,"Centennial, Colorado, United States","Community and Lifestyle, Health Care","Health Care, Health Diagnostics, Pet, Veterinary",91738.0,"MySimplePetLab is a distributed pet care testing and results. It provides the tests, technology, lab, operations, and results to deliver simple pet care from home and/or in the clinic. Founded in 2019, the company is based in Centennial, Colorado, United States.",1-10,3.0,,2023-11-15,3000010.0,Venture - Series Unknown,9650010.0,,1-10,Private,,,0.0,2.0,,1,5,2019,12295,True
11188,KEIPhone Global,2021-09-01,https://www.keiphoneglobal.com/,"Silver Spring, Maryland, United States","Advertising, Hardware, Information Technology, Other, Sales and Marketing","Advertising Platforms, Consumer, Information Technology, Mobile Advertising, Telecommunications",79995.0,KEIPhone is building an audience in Africa by providing free smartphones and data to the 70% of the population in sub-Saharan Africa that is currently unconnected. KEIPhone is the first company to generate revenue in Africa through lock screen advertising and increasing access to devices.,11-50,4.0,Seed,2023-05-30,25000.0,Debt Financing,775000.0,3.0,11-50,Private,,,,,,0,2,2021,10813,True
3242,Staircase AI,2021-05-01,https://www.staircase.ai/,"Topanga, California, United States","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Customer Service, Machine Learning, Software",29638.0,"Staircase AI is pioneering Customer Relationship Intelligence. Our platform leverages AI to analyze millions of customer interactions and turn them into actionable human insights that are impossible to spot with the naked eye. Companies depend on Staircase AI to cut through the noise and improve their NRR. Staircase AI reveals deep human signals and uncovers customers' health, sentiment, journey events, risks, and opportunities.",11-50,1.0,Seed,2021-10-27,4000000.0,Seed,4000000.0,2.0,11-50,Private,,,1.0,0.0,,0,2,2021,3182,True
8380,Syndicate,2021-01-01,https://syndicate.io/,"Mountain View, California, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Software","Cryptocurrency, Developer APIs, Software",60001.0,Syndicate is a decentralized asset management platform and social network. It creates an investing syndicate for 1000x less time and money.  Syndicate is a decentralized investing protocol and social network that's transforming how the world creates value.,1-10,4.0,,2022-03-25,6000000.0,Venture - Series Unknown,27800000.0,2.0,1-10,Private,,,,,,1,3,2021,8150,True
11833,Dexon Technologies,2021-09-26,https://dexontechnologies.com/,"Detroit, Michigan, United States","Administrative Services, Design, Health Care, Information Technology, Other, Professional Services, Sales and Marketing, Software","Consulting, Health Care, Information Technology, Marketing, Outsourcing, Professional Services, Software, Staffing Agency, Web Design, Web Development",84739.0,Premier Staff Augmentation Provider.,11-50,1.0,Seed,2023-07-28,1200000.0,Pre-Seed,1200000.0,1.0,11-50,Private,,,,,,0,2,2021,11425,True
3152,Proxima,2021-10-01,https://www.proxima.gg/,"San Francisco, California, United States","Gaming, Software","Consumer Software, Online Games, Video Games",29221.0,,1-10,1.0,Seed,2023-05-30,1600000.0,Pre-Seed,1600000.0,1.0,1-10,Private,,,0.0,0.0,,0,2,2021,3095,True
2784,"Speechlab, Inc.",2021-06-28,https://www.speechlab.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Digital Media, Generative AI, Information Technology, Natural Language Processing, Software, Speech Recognition, Translation Service",27215.0,"Speechlab is building the category defining platform for speech-to-speech translation for professional creators, over the top media, and online education. The company was incubated at Andrew Ng's AI Fund. Its team have deep experience at building and commercializing new speech technologies.",1-10,1.0,Seed,2023-03-01,1550000.0,Pre-Seed,1550000.0,1.0,1-10,Private,,,0.0,0.0,,0,2,2021,2731,True
3052,Themis AI,2021-01-01,https://themisai.io/,"Cambridge, Massachusetts, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning",28671.0,"The team at Themis AI has implemented more than 5 years of foundational research into a software framework that automatically estimates uncertainty for any ML model. Unpredictable variations in model output quality have led to a reluctance of users to accept AI as part of their lives and integrate it into workflows. Uncertainty estimation is a necessary process that addresses this issue. In short, an understanding of model reliability is needed for proper quality assurance. Capsa allows ML models to recognize when they provide improper results and self-regulate.Themis AI was founded in 2021. The company is an MIT CSAIL spin-off with a founding team that includes Prof. Daniela Rus, Alexander Amini, and Elaheh Ahmadi.",1-10,2.0,,2023-05-09,0.0,Non-equity Assistance,2000000.0,3.0,1-10,Private,,,0.0,0.0,,2,3,2021,2997,True
10343,Gencores,2019-01-01,https://www.gencores.com/,"Boston, Massachusetts, United States",Health Care,"Health Care, Medical, Medical Device",73660.0,"Gencores provides a platform that reduces the risk of concussion with customizable, smart, shock-absorbing helmet inserts.",11-50,4.0,Seed,2021-11-10,256000.0,Grant,321000.0,1.0,11-50,Private,,,,,,0,5,2019,10021,True
13823,Boostopia,2019-09-13,http://boostopia.com,"Durham, North Carolina, United States","Administrative Services, Commerce and Shopping, Data and Analytics, Information Technology, Other, Professional Services, Software","B2B, Business Intelligence, Call Center, Customer Service, E-Commerce, Enterprise Software, SaaS, Software, Technical Support",100008.0,"3 of the 4 founders worked together previously at another e-commerce startup, that at peak, reached north of $20M+ a year where one of their biggest challenges was managing their team of 20+ support agents. Their first-hand experience was that the existing market of technology solutions for support focuses almost exclusively on building tools for customer service agents to talk to customers, and NOT their bosses, the managers, to do their job of understanding and improving the whole support operation. So Boostopia is the first modern Workforce Optimization (WFO) solution built for SMB customer support managers, not agents, to do their job of understanding and improving the entire support operation. Our solution integrates with and upgrades common ticketing and call center solutions like Zendesk, Freshdesk, Helpscout, and Salesforce Service.  Customers are seeing 30%+ reductions in overall support volume and increases in Agent Productivity by 20%+.",1-10,1.0,M&A,2021-01-14,100000.0,Pre-Seed,100000.0,4.0,1-10,Private,,,,,,0,4,2019,13289,True
6929,Skyway,2021-01-05,http://goskyway.com,"San Rafael, California, United States","Hardware, Information Technology, Navigation and Mapping, Science and Engineering, Software, Transportation","Aerospace, Air Transportation, Drone Management, Information Technology, Navigation, Software",50982.0,"Skyway develops a cloud-based secure automated airspace authorization service for the aviation industry. Skyway's offerings include: Drone Recovery, which assists in the management of risk, expense, reports, and government compliance; Drone Traffic Management, which provides high-definition geo navigation and mapping for drone missions; Vertiport Planning, which serves as the hub for passenger and cargo air mobility operations; and Vertiport Traffic Management, which provides critical technologies for operating and maintaining airspace traffic requests to vertiport developers.",1-10,3.0,Seed,2022-10-01,300000.0,Pre-Seed,1400000.0,1.0,1-10,Private,,,4.0,1.0,Aircraft; Aviation; Cosmonautics,0,3,2021,6759,True
5268,Unearthly Materials,2020-01-01,https://www.unearthlymaterials.com,"Rochester, New York, United States","Manufacturing, Science and Engineering","Industrial Engineering, Industrial Manufacturing, Manufacturing, Nanotechnology",40790.0,Unearthly Materials is a transformative materials company developing superconducting technology. Superconductors will have an impact on every aspect of our lives in the future. We discovered the first superconducting material at room temperature and hope to bring its benefits to everyone.,1-10,1.0,Seed,2022-03-17,17000000.0,Seed,17000000.0,,1-10,Private,,,,,,0,4,2020,5158,True
6738,GE Vernova,2022-01-01,https://www.gevernova.com,"Boston, Massachusetts, United States","Energy, Sustainability","Energy, Energy Efficiency, Sustainability",49716.0,"GE Vernova is an energy business company. They provide digital, energy consulting, energy financial services, gas power, grid solutions, nuclear energy, power conversion, renewable energy, steam power, and so on.",10001+,0.0,,,0.0,,0.0,,10001+,Private,,,,,,6,2,2022,6578,True
4678,Modelwise,2022-04-14,https://modelwise.ai/,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software","Artificial Intelligence (AI), Public Safety, Software",37631.0,"Modelwise is a Munich-based industrial tech company that leverages AI to automate safety engineering. Their engineering software streamlines safety analysis, saving engineers valuable time, and improving analysis quality. With their innovative technology, Modelwise enables engineers to design better products.",1-10,3.0,Seed,2023-11-09,361388.0,Seed,2561385.0,3.0,1-10,Private,,,,,,0,1,2022,4586,True
8986,Clearmix,2020-01-01,https://www.clearmix.com/,"New York, New York, United States","Content and Publishing, Media and Entertainment, Software, Video","Film Production, Software, Video Editing",64162.0,Clearmix produces branded video content for sales and marketing teams using a 100% remote process to film guest interviews anywhere.,11-50,3.0,Seed,2022-02-22,3250000.0,Seed,3375000.0,1.0,11-50,Private,,,,,,0,4,2020,8731,True
7512,T2D2,2020-07-15,https://t2d2.ai,"New York, New York, United States","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Real Estate, Science and Engineering, Software","Apps, Artificial Intelligence (AI), Information Services, Machine Learning, Real Estate, SaaS, Software",54366.0,"T2D2 is a self-learning software platform that detects and classifies visible damage to structures and materials. T2D2 applies the latest advances in AI – specifically, deep learning for computer vision – to detect and localize damage by analyzing inspection images.",1-10,2.0,Seed,2020-07-15,850000.0,Pre-Seed,1100000.0,1.0,1-10,Private,,,,,,0,3,2020,7320,True
